"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596231635697156,113260,886740,9,14.53
"2","Alaska",0.527751042717279,343413,656587,3,9
"3","Arizona",0.474738160107722,628454,371546,11,4.2
"4","Arkansas",0.694190801297896,5014,994986,6,15.58
"5","California",0.332668802610342,994991,5009,55,-12.96
"6","Colorado",0.442217167021364,864538,135462,9,-1.26
"7","Connecticut",0.414893471858983,903955,96045,7,-6.95
"8","Delaware",0.443312360303077,791165,208835,3,-7.14
"9","District of Columbia",0.11027731287636,1e+06,0,3,-42.87
"10","Florida",0.486469985185701,572692,427308,29,2.84
"11","Georgia",0.498547780181071,506933,493067,16,4.99
"12","Hawaii",0.35734837114954,981745,18255,4,-18.5
"13","Idaho",0.608227579322632,59148,940852,4,18.41
"14","Illinois",0.428986068853152,870375,129625,20,-7.29
"15","Indiana",0.559348449623086,228730,771270,11,9.6
"16","Iowa",0.550762824601363,189124,810876,6,3.35
"17","Kansas",0.565068908537959,205031,794969,6,11.64
"18","Kentucky",0.620124529016533,58764,941236,8,15.08
"19","Louisiana",0.594532286066881,109714,890286,8,12.17
"20","Maine",0.508805278791294,441095,558905,3,-2.89
"21","Maine CD-2",0.548069669784576,204097,795903,1,3.51
"22","Maryland",0.358061102767482,976125,23875,10,-12.25
"23","Massachusetts",0.363505446901016,985147,14853,11,-16.04
"24","Michigan",0.46857963615485,656694,343306,16,-0.3
"25","Minnesota",0.469235800477279,686529,313471,10,-0.85
"26","Mississippi",0.587742539226747,175670,824330,6,9.18
"27","Missouri",0.551620843690581,238725,761275,10,9.62
"28","Montana",0.551482477712962,230658,769342,3,9.76
"29","Nebraska",0.568677057510439,144887,855113,4,14.39
"30","Nebraska CD-2",0.506547061616701,462839,537161,1,3.26
"31","Nevada",0.468232328724308,660648,339352,6,0.12
"32","New Hampshire",0.462949196262166,684106,315894,4,-0.21
"33","New Jersey",0.410048529882955,910299,89701,14,-6.18
"34","New Mexico",0.458966137343302,695632,304368,5,-4.14
"35","New York",0.368526611143867,970328,29672,29,-11.53
"36","North Carolina",0.498159459075227,510760,489240,15,3.51
"37","North Dakota",0.584284281352033,75927,924073,3,17.04
"38","Ohio",0.503340083606594,482575,517425,18,4.55
"39","Oklahoma",0.619093527945663,60425,939575,7,19.38
"40","Oregon",0.434343388794007,918666,81334,7,-5.29
"41","Pennsylvania",0.476243314077547,627367,372633,20,0.6
"42","Rhode Island",0.425375471978645,856370,143630,4,-9.39
"43","South Carolina",0.47710764058941,615348,384652,9,8.67
"44","South Dakota",0.627030926585309,46374,953626,3,15.26
"45","Tennessee",0.618875230206896,66650,933350,11,13.93
"46","Texas",0.50953934538186,451679,548321,38,7.2
"47","Utah",0.583585986125959,89668,910332,6,16.94
"48","Vermont",0.383267450945121,949874,50126,3,-15.75
"49","Virginia",0.459793721352921,686319,313681,13,-1.13
"50","Washington",0.42192033696879,882065,117935,12,-7.44
"51","West Virginia",0.676188149190003,3807,996193,5,18.16
"52","Wisconsin",0.464892224693149,695976,304024,10,0.39
"53","Wyoming",0.684272471747748,4983,995017,3,24.64
