"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.59628170400844,101394,898606,9,14.53
"2","Alaska",0.520686320490025,375860,624140,3,9
"3","Arizona",0.480989148821316,603005,396995,11,4.2
"4","Arkansas",0.694176418651176,3318,996682,6,15.58
"5","California",0.354113736824503,990831,9169,55,-12.96
"6","Colorado",0.439784048413547,906356,93644,9,-1.26
"7","Connecticut",0.414832589374927,919865,80135,7,-6.95
"8","Delaware",0.443285101739246,806763,193237,3,-7.14
"9","District of Columbia",0.110309834380697,1e+06,0,3,-42.87
"10","Florida",0.491323809745487,548956,451044,29,2.84
"11","Georgia",0.499206463844192,504151,495849,16,4.99
"12","Hawaii",0.349370665366097,989756,10244,4,-18.5
"13","Idaho",0.608214869441583,47777,952223,4,18.41
"14","Illinois",0.430834991852556,877173,122827,20,-7.29
"15","Indiana",0.553716360529509,241304,758696,11,9.6
"16","Iowa",0.50484182839593,462654,537346,6,3.35
"17","Kansas",0.549849848950893,248095,751905,6,11.64
"18","Kentucky",0.606498201523859,71631,928369,8,15.08
"19","Louisiana",0.615846703641158,51341,948659,8,12.17
"20","Maine",0.42038930746002,936037,63963,3,-2.89
"21","Maine CD-2",0.502343257144609,482000,518000,1,3.51
"22","Maryland",0.358231445265538,983663,16337,10,-12.25
"23","Massachusetts",0.363488804677753,991058,8942,11,-16.04
"24","Michigan",0.468696789358392,663793,336207,16,-0.3
"25","Minnesota",0.46251263498017,740091,259909,10,-0.85
"26","Mississippi",0.587847431144702,163079,836921,6,9.18
"27","Missouri",0.5419611563872,268929,731071,10,9.62
"28","Montana",0.547389887227725,227806,772194,3,9.76
"29","Nebraska",0.568664361534356,126263,873737,4,14.39
"30","Nebraska CD-2",0.481202518064953,619423,380577,1,3.26
"31","Nevada",0.470886877437645,658703,341297,6,0.12
"32","New Hampshire",0.452417406896073,745704,254296,4,-0.21
"33","New Jersey",0.408198277128146,939596,60404,14,-6.18
"34","New Mexico",0.449147360541049,749506,250494,5,-4.14
"35","New York",0.35813584419188,980344,19656,29,-11.53
"36","North Carolina",0.493318578657407,540487,459513,15,3.51
"37","North Dakota",0.584708312074679,56931,943069,3,17.04
"38","Ohio",0.50770930124862,458416,541584,18,4.55
"39","Oklahoma",0.619240517190929,50866,949134,7,19.38
"40","Oregon",0.427078613568465,979564,20436,7,-5.29
"41","Pennsylvania",0.472114598881933,656779,343221,20,0.6
"42","Rhode Island",0.425481764628804,871398,128602,4,-9.39
"43","South Carolina",0.526115398212373,360733,639267,9,8.67
"44","South Dakota",0.627067474277655,37742,962258,3,15.26
"45","Tennessee",0.61884829394099,57024,942976,11,13.93
"46","Texas",0.508351160432737,455805,544195,38,7.2
"47","Utah",0.574208394448079,102281,897719,6,16.94
"48","Vermont",0.38328969588139,960024,39976,3,-15.75
"49","Virginia",0.453272345356439,727384,272616,13,-1.13
"50","Washington",0.413083436384077,929419,70581,12,-7.44
"51","West Virginia",0.638346146935099,16962,983038,5,18.16
"52","Wisconsin",0.466796138789236,698051,301949,10,0.39
"53","Wyoming",0.684094661385833,3032,996968,3,24.64
