"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596384717396715,104717,895283,9,14.53
"2","Alaska",0.527673459205224,343014,656986,3,9
"3","Arizona",0.475995416907123,628793,371207,11,4.2
"4","Arkansas",0.694114828388551,3982,996018,6,15.58
"5","California",0.332811250633237,999448,552,55,-12.96
"6","Colorado",0.44223774237291,877379,122621,9,-1.26
"7","Connecticut",0.414909965457508,909648,90352,7,-6.95
"8","Delaware",0.443226603183961,798575,201425,3,-7.14
"9","District of Columbia",0.110284467031931,1e+06,0,3,-42.87
"10","Florida",0.485943662509684,577220,422780,29,2.84
"11","Georgia",0.502141621226747,488807,511193,16,4.99
"12","Hawaii",0.357250956843028,985676,14324,4,-18.5
"13","Idaho",0.608255242255459,54356,945644,4,18.41
"14","Illinois",0.430901550776827,865986,134014,20,-7.29
"15","Indiana",0.559533856161884,223881,776119,11,9.6
"16","Iowa",0.512636421761082,409255,590745,6,3.35
"17","Kansas",0.549914787335553,254952,745048,6,11.64
"18","Kentucky",0.60640763247174,77951,922049,8,15.08
"19","Louisiana",0.594472352657064,85075,914925,8,12.17
"20","Maine",0.41781368755316,929608,70392,3,-2.89
"21","Maine CD-2",0.506872337173203,452234,547766,1,3.51
"22","Maryland",0.358166673241789,990162,9838,10,-12.25
"23","Massachusetts",0.363484775490031,987694,12306,11,-16.04
"24","Michigan",0.470108916854274,652570,347430,16,-0.3
"25","Minnesota",0.461660133500613,734456,265544,10,-0.85
"26","Mississippi",0.587821690483075,145602,854398,6,9.18
"27","Missouri",0.551636035325157,233362,766638,10,9.62
"28","Montana",0.551349653616343,225156,774844,3,9.76
"29","Nebraska",0.568754292805031,136715,863285,4,14.39
"30","Nebraska CD-2",0.493184363442617,541255,458745,1,3.26
"31","Nevada",0.469148927381131,665755,334245,6,0.12
"32","New Hampshire",0.453863848660051,732451,267549,4,-0.21
"33","New Jersey",0.410099698051839,920470,79530,14,-6.18
"34","New Mexico",0.458695129729021,709330,290670,5,-4.14
"35","New York",0.368463917301183,973342,26658,29,-11.53
"36","North Carolina",0.497555356282806,514292,485708,15,3.51
"37","North Dakota",0.584643987913314,67441,932559,3,17.04
"38","Ohio",0.50615889258904,467324,532676,18,4.55
"39","Oklahoma",0.619036262099335,57152,942848,7,19.38
"40","Oregon",0.434412752990065,931262,68738,7,-5.29
"41","Pennsylvania",0.474401037659599,639677,360323,20,0.6
"42","Rhode Island",0.425407806377505,862533,137467,4,-9.39
"43","South Carolina",0.517882908446701,405867,594133,9,8.67
"44","South Dakota",0.626956157259754,42686,957314,3,15.26
"45","Tennessee",0.619039550866458,61793,938207,11,13.93
"46","Texas",0.512295147868702,436852,563148,38,7.2
"47","Utah",0.574220937488378,112331,887669,6,16.94
"48","Vermont",0.383379355215866,954419,45581,3,-15.75
"49","Virginia",0.459519362843146,690532,309468,13,-1.13
"50","Washington",0.422073506246287,888171,111829,12,-7.44
"51","West Virginia",0.676180932977154,2870,997130,5,18.16
"52","Wisconsin",0.466328497007162,693218,306782,10,0.39
"53","Wyoming",0.684239056625659,3998,996002,3,24.64
