"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",1
"41",1
"42",0
"43",0
"44",1
"45",0
"46",1
"47",0
"48",0
"49",0
"50",1
"51",1
"52",0
"53",0
"54",2
"55",1
"56",2
"57",3
"58",3
"59",6
"60",1
"61",5
"62",3
"63",8
"64",9
"65",9
"66",11
"67",8
"68",15
"69",23
"70",14
"71",32
"72",27
"73",32
"74",21
"75",34
"76",38
"77",45
"78",53
"79",50
"80",56
"81",76
"82",79
"83",84
"84",76
"85",118
"86",108
"87",136
"88",143
"89",136
"90",153
"91",200
"92",212
"93",217
"94",217
"95",243
"96",243
"97",300
"98",342
"99",351
"100",407
"101",428
"102",467
"103",490
"104",508
"105",563
"106",625
"107",594
"108",647
"109",707
"110",715
"111",814
"112",831
"113",912
"114",928
"115",989
"116",1170
"117",1112
"118",1153
"119",1240
"120",1307
"121",1410
"122",1471
"123",1467
"124",1591
"125",1669
"126",1789
"127",1808
"128",1894
"129",2098
"130",2020
"131",2196
"132",2366
"133",2284
"134",2507
"135",2553
"136",2629
"137",2831
"138",2767
"139",2943
"140",3004
"141",3175
"142",3240
"143",3356
"144",3454
"145",3586
"146",3627
"147",3668
"148",3861
"149",3932
"150",4118
"151",4291
"152",4406
"153",4581
"154",4452
"155",4650
"156",4875
"157",5056
"158",4991
"159",5114
"160",5414
"161",5519
"162",5490
"163",5649
"164",5708
"165",5969
"166",6065
"167",6092
"168",6156
"169",6339
"170",6433
"171",6487
"172",6631
"173",6744
"174",7006
"175",6946
"176",7130
"177",7180
"178",7282
"179",7316
"180",7520
"181",7658
"182",7551
"183",7563
"184",7714
"185",7977
"186",7832
"187",7837
"188",7987
"189",8166
"190",8276
"191",8266
"192",8425
"193",8324
"194",8366
"195",8543
"196",8565
"197",8472
"198",8604
"199",8589
"200",8617
"201",8411
"202",8661
"203",8606
"204",8724
"205",8717
