"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596432777298933,116663,883337,9,14.53
"2","Alaska",0.527740390328527,347059,652941,3,9
"3","Arizona",0.469354344461874,651305,348695,11,4.2
"4","Arkansas",0.694257598895513,5990,994010,6,15.58
"5","California",0.36340743559611,975289,24711,55,-12.96
"6","Colorado",0.442165771888508,854966,145034,9,-1.26
"7","Connecticut",0.414809379615615,897345,102655,7,-6.95
"8","Delaware",0.443336257716622,785243,214757,3,-7.14
"9","District of Columbia",0.110327038648352,1e+06,0,3,-42.87
"10","Florida",0.485947537944227,574200,425800,29,2.84
"11","Georgia",0.51221136604877,444787,555213,16,4.99
"12","Hawaii",0.357308233853489,979578,20422,4,-18.5
"13","Idaho",0.607918139917296,64574,935426,4,18.41
"14","Illinois",0.428930414717408,864560,135440,20,-7.29
"15","Indiana",0.559438666929506,233572,766428,11,9.6
"16","Iowa",0.550730046828853,192778,807222,6,3.35
"17","Kansas",0.564822385288595,202810,797190,6,11.64
"18","Kentucky",0.620094956106632,60807,939193,8,15.08
"19","Louisiana",0.594473152218339,114558,885442,8,12.17
"20","Maine",0.50874340001011,440453,559547,3,-2.89
"21","Maine CD-2",0.548230598537092,203808,796192,1,3.51
"22","Maryland",0.358319748324012,973073,26927,10,-12.25
"23","Massachusetts",0.363482972596196,982564,17436,11,-16.04
"24","Michigan",0.473423356052842,631055,368945,16,-0.3
"25","Minnesota",0.482013297097021,608717,391283,10,-0.85
"26","Mississippi",0.588052198160419,178543,821457,6,9.18
"27","Missouri",0.55504874329876,231203,768797,10,9.62
"28","Montana",0.560390760139124,190318,809682,3,9.76
"29","Nebraska",0.568739290235195,150980,849020,4,14.39
"30","Nebraska CD-2",0.526165044700414,347694,652306,1,3.26
"31","Nevada",0.453101995889444,728405,271595,6,0.12
"32","New Hampshire",0.457398435662501,708999,291001,4,-0.21
"33","New Jersey",0.410304825717414,903248,96752,14,-6.18
"34","New Mexico",0.458885688175448,692185,307815,5,-4.14
"35","New York",0.368392454800741,966970,33030,29,-11.53
"36","North Carolina",0.498989630531177,505486,494514,15,3.51
"37","North Dakota",0.578446985626771,83560,916440,3,17.04
"38","Ohio",0.51226601624191,439288,560712,18,4.55
"39","Oklahoma",0.619377551017989,64314,935686,7,19.38
"40","Oregon",0.434275267103326,908814,91186,7,-5.29
"41","Pennsylvania",0.475535278417533,627771,372229,20,0.6
"42","Rhode Island",0.425427933997425,850782,149218,4,-9.39
"43","South Carolina",0.477149521196603,614395,385605,9,8.67
"44","South Dakota",0.626931307878155,49285,950715,3,15.26
"45","Tennessee",0.618883459606042,70800,929200,11,13.93
"46","Texas",0.493897477629917,530583,469417,38,7.2
"47","Utah",0.580000434870323,99055,900945,6,16.94
"48","Vermont",0.383217002389524,946016,53984,3,-15.75
"49","Virginia",0.45493733946412,704768,295232,13,-1.13
"50","Washington",0.439982321047075,825895,174105,12,-7.44
"51","West Virginia",0.676205077875939,4526,995474,5,18.16
"52","Wisconsin",0.465158899566968,690306,309694,10,0.39
"53","Wyoming",0.684116301431666,5813,994187,3,24.64
