"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.59628552909238,104709,895291,9,14.53
"2","Alaska",0.527708407862205,341904,658096,3,9
"3","Arizona",0.476210001464289,627711,372289,11,4.2
"4","Arkansas",0.694340857375365,3904,996096,6,15.58
"5","California",0.354162407910396,996233,3767,55,-12.96
"6","Colorado",0.44217724904001,877935,122065,9,-1.26
"7","Connecticut",0.414747022579955,910683,89317,7,-6.95
"8","Delaware",0.443445976626102,798308,201692,3,-7.14
"9","District of Columbia",0.110308755033375,1e+06,0,3,-42.87
"10","Florida",0.485995586437434,577997,422003,29,2.84
"11","Georgia",0.500626940712145,496560,503440,16,4.99
"12","Hawaii",0.357294203412324,986180,13820,4,-18.5
"13","Idaho",0.60817618633346,53902,946098,4,18.41
"14","Illinois",0.430878778023469,866810,133190,20,-7.29
"15","Indiana",0.559522838948469,223603,776397,11,9.6
"16","Iowa",0.512430962552199,409576,590424,6,3.35
"17","Kansas",0.550048894537065,254248,745752,6,11.64
"18","Kentucky",0.606573600214117,77679,922321,8,15.08
"19","Louisiana",0.594479910445552,84902,915098,8,12.17
"20","Maine",0.417728861345935,930502,69498,3,-2.89
"21","Maine CD-2",0.506784277328605,451966,548034,1,3.51
"22","Maryland",0.358203627990894,990338,9662,10,-12.25
"23","Massachusetts",0.363494357908829,987785,12215,11,-16.04
"24","Michigan",0.471441090214051,646730,353270,16,-0.3
"25","Minnesota",0.461718849214106,733826,266174,10,-0.85
"26","Mississippi",0.587573688402409,145686,854314,6,9.18
"27","Missouri",0.551669105129969,232870,767130,10,9.62
"28","Montana",0.551213652495962,225623,774377,3,9.76
"29","Nebraska",0.568648997336135,136332,863668,4,14.39
"30","Nebraska CD-2",0.493213604304185,541111,458889,1,3.26
"31","Nevada",0.46904057842243,666488,333512,6,0.12
"32","New Hampshire",0.45379002471727,733397,266603,4,-0.21
"33","New Jersey",0.410077412202845,920938,79062,14,-6.18
"34","New Mexico",0.458790425038316,708898,291102,5,-4.14
"35","New York",0.358437506039617,976691,23309,29,-11.53
"36","North Carolina",0.49768574033089,513978,486022,15,3.51
"37","North Dakota",0.584719451312908,66514,933486,3,17.04
"38","Ohio",0.506236980577073,467211,532789,18,4.55
"39","Oklahoma",0.619251019750746,56375,943625,7,19.38
"40","Oregon",0.427106694839278,965477,34523,7,-5.29
"41","Pennsylvania",0.474474738043144,639914,360086,20,0.6
"42","Rhode Island",0.425487990586474,863618,136382,4,-9.39
"43","South Carolina",0.517891803754164,405291,594709,9,8.67
"44","South Dakota",0.627017806211405,41967,958033,3,15.26
"45","Tennessee",0.618716102598735,62146,937854,11,13.93
"46","Texas",0.511825280900454,439048,560952,38,7.2
"47","Utah",0.57413026178049,112762,887238,6,16.94
"48","Vermont",0.383233290613314,954419,45581,3,-15.75
"49","Virginia",0.459824409121178,689552,310448,13,-1.13
"50","Washington",0.422139751748533,888544,111456,12,-7.44
"51","West Virginia",0.676264842386169,2710,997290,5,18.16
"52","Wisconsin",0.466496236034095,692913,307087,10,0.39
"53","Wyoming",0.684222548375056,4107,995893,3,24.64
