"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.619427496854656,53549,946451,9,14.53
"2","Alaska",0.520789555226453,371907,628093,3,9
"3","Arizona",0.483962767994512,589840,410160,11,4.2
"4","Arkansas",0.669136899136634,9669,990331,6,15.58
"5","California",0.355711564582789,993955,6045,55,-12.96
"6","Colorado",0.439581776095021,923074,76926,9,-1.26
"7","Connecticut",0.414895993140137,926954,73046,7,-6.95
"8","Delaware",0.443276161979879,814472,185528,3,-7.14
"9","District of Columbia",0.110279546648567,1e+06,0,3,-42.87
"10","Florida",0.487496558203644,573423,426577,29,2.84
"11","Georgia",0.498692232006247,507079,492921,16,4.99
"12","Hawaii",0.349432124248439,991480,8520,4,-18.5
"13","Idaho",0.608189900859677,42573,957427,4,18.41
"14","Illinois",0.430903646340178,886133,113867,20,-7.29
"15","Indiana",0.553816291743578,236718,763282,11,9.6
"16","Iowa",0.504613771870263,462159,537841,6,3.35
"17","Kansas",0.554914128531923,221651,778349,6,11.64
"18","Kentucky",0.602041368378634,74837,925163,8,15.08
"19","Louisiana",0.615946663712865,45493,954507,8,12.17
"20","Maine",0.420474759321973,945547,54453,3,-2.89
"21","Maine CD-2",0.502380842541257,480257,519743,1,3.51
"22","Maryland",0.358260569789136,986673,13327,10,-12.25
"23","Massachusetts",0.363436107914032,993060,6940,11,-16.04
"24","Michigan",0.469939010756156,661926,338074,16,-0.3
"25","Minnesota",0.463671980120923,742485,257515,10,-0.85
"26","Mississippi",0.587974364584208,157731,842269,6,9.18
"27","Missouri",0.540528724304601,270216,729784,10,9.62
"28","Montana",0.539409985786689,258482,741518,3,9.76
"29","Nebraska",0.568720619273604,117265,882735,4,14.39
"30","Nebraska CD-2",0.481025615000799,625203,374797,1,3.26
"31","Nevada",0.469118292453237,672680,327320,6,0.12
"32","New Hampshire",0.452366746566776,751447,248553,4,-0.21
"33","New Jersey",0.408157798709602,946702,53298,14,-6.18
"34","New Mexico",0.44488092108607,773671,226329,5,-4.14
"35","New York",0.358115915641341,983089,16911,29,-11.53
"36","North Carolina",0.492286892895918,548344,451656,15,3.51
"37","North Dakota",0.584704404913026,49024,950976,3,17.04
"38","Ohio",0.508918453493478,450372,549628,18,4.55
"39","Oklahoma",0.613750436207883,46406,953594,7,19.38
"40","Oregon",0.427063382924033,988854,11146,7,-5.29
"41","Pennsylvania",0.47017031767641,671683,328317,20,0.6
"42","Rhode Island",0.425567746565725,878425,121575,4,-9.39
"43","South Carolina",0.526282339181413,356880,643120,9,8.67
"44","South Dakota",0.626991169234131,33898,966102,3,15.26
"45","Tennessee",0.618910205720181,53190,946810,11,13.93
"46","Texas",0.504668723557858,475030,524970,38,7.2
"47","Utah",0.570819106187026,94417,905583,6,16.94
"48","Vermont",0.383290809682966,964794,35206,3,-15.75
"49","Virginia",0.450993314691656,744610,255390,13,-1.13
"50","Washington",0.406198164307233,952767,47233,12,-7.44
"51","West Virginia",0.638387559742124,14245,985755,5,18.16
"52","Wisconsin",0.485889341409957,589463,410537,10,0.39
"53","Wyoming",0.684235083045357,2446,997554,3,24.64
