"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",1
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",2
"47",0
"48",0
"49",0
"50",2
"51",1
"52",1
"53",0
"54",3
"55",2
"56",2
"57",5
"58",5
"59",5
"60",5
"61",6
"62",1
"63",10
"64",11
"65",8
"66",8
"67",11
"68",15
"69",20
"70",18
"71",27
"72",29
"73",38
"74",17
"75",36
"76",41
"77",47
"78",58
"79",47
"80",60
"81",77
"82",89
"83",79
"84",95
"85",97
"86",126
"87",144
"88",143
"89",173
"90",165
"91",179
"92",190
"93",235
"94",244
"95",272
"96",279
"97",323
"98",322
"99",395
"100",402
"101",444
"102",501
"103",491
"104",551
"105",589
"106",614
"107",625
"108",694
"109",709
"110",778
"111",853
"112",852
"113",904
"114",997
"115",1046
"116",1085
"117",1133
"118",1260
"119",1217
"120",1332
"121",1391
"122",1585
"123",1607
"124",1609
"125",1723
"126",1763
"127",1843
"128",1942
"129",1943
"130",2057
"131",2181
"132",2313
"133",2364
"134",2451
"135",2585
"136",2669
"137",2817
"138",2923
"139",2984
"140",3029
"141",3213
"142",3362
"143",3448
"144",3412
"145",3644
"146",3761
"147",3800
"148",3938
"149",4022
"150",4010
"151",4208
"152",4283
"153",4355
"154",4640
"155",4698
"156",4850
"157",4873
"158",5037
"159",5205
"160",5327
"161",5448
"162",5498
"163",5700
"164",5872
"165",5945
"166",6015
"167",6168
"168",6106
"169",6168
"170",6597
"171",6543
"172",6507
"173",6694
"174",6953
"175",6909
"176",6946
"177",7051
"178",7102
"179",7199
"180",7187
"181",7544
"182",7548
"183",7757
"184",7927
"185",7857
"186",7885
"187",7843
"188",8052
"189",8141
"190",8059
"191",8159
"192",8328
"193",8218
"194",8405
"195",8286
"196",8563
"197",8498
"198",8536
"199",8369
"200",8571
"201",8563
"202",8465
"203",8780
"204",8475
"205",8546
