"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",1
"73",0
"74",0
"75",0
"76",3
"77",1
"78",0
"79",1
"80",1
"81",1
"82",2
"83",0
"84",2
"85",1
"86",3
"87",6
"88",5
"89",9
"90",8
"91",8
"92",15
"93",20
"94",15
"95",12
"96",21
"97",29
"98",25
"99",37
"100",52
"101",46
"102",55
"103",74
"104",74
"105",79
"106",98
"107",108
"108",112
"109",130
"110",146
"111",139
"112",176
"113",220
"114",231
"115",259
"116",284
"117",328
"118",361
"119",410
"120",431
"121",443
"122",457
"123",538
"124",651
"125",659
"126",707
"127",756
"128",862
"129",914
"130",993
"131",1125
"132",1196
"133",1240
"134",1292
"135",1369
"136",1547
"137",1580
"138",1765
"139",1779
"140",2010
"141",2091
"142",2156
"143",2293
"144",2446
"145",2559
"146",2742
"147",2858
"148",2912
"149",3075
"150",3321
"151",3466
"152",3623
"153",3618
"154",3860
"155",3908
"156",4064
"157",4258
"158",4553
"159",4721
"160",4840
"161",5158
"162",5266
"163",5416
"164",5587
"165",5643
"166",6000
"167",6241
"168",6366
"169",6478
"170",6584
"171",6820
"172",7109
"173",7222
"174",7287
"175",7459
"176",7832
"177",7916
"178",8110
"179",8259
"180",8300
"181",8442
"182",8632
"183",8887
"184",9004
"185",9120
"186",9344
"187",9376
"188",9540
"189",9634
"190",9677
"191",9883
"192",10038
"193",10185
"194",10159
"195",10369
"196",10443
"197",10449
"198",10465
"199",10647
"200",10796
"201",10629
"202",10964
"203",10694
"204",10689
"205",10894
"206",10598
"207",10865
"208",10811
