"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.61938919600928,51907,948093,9,14.53
"2","Alaska",0.520932023542292,368596,631404,3,9
"3","Arizona",0.483851600365994,591803,408197,11,4.2
"4","Arkansas",0.669139637206628,8831,991169,6,15.58
"5","California",0.348463404236634,996012,3988,55,-12.96
"6","Colorado",0.439639081143356,929991,70009,9,-1.26
"7","Connecticut",0.414928128992592,930688,69312,7,-6.95
"8","Delaware",0.443323304432467,818199,181801,3,-7.14
"9","District of Columbia",0.110304628914915,1e+06,0,3,-42.87
"10","Florida",0.491945634064796,546864,453136,29,2.84
"11","Georgia",0.497849346457483,511224,488776,16,4.99
"12","Hawaii",0.349556514695796,992361,7639,4,-18.5
"13","Idaho",0.608208067999768,39948,960052,4,18.41
"14","Illinois",0.43094306046299,890055,109945,20,-7.29
"15","Indiana",0.553779122307105,234538,765462,11,9.6
"16","Iowa",0.504534890689579,461164,538836,6,3.35
"17","Kansas",0.554922041674006,218772,781228,6,11.64
"18","Kentucky",0.602172155996255,72468,927532,8,15.08
"19","Louisiana",0.613575345766171,45017,954983,8,12.17
"20","Maine",0.420482505915323,949906,50094,3,-2.89
"21","Maine CD-2",0.502360626191968,481228,518772,1,3.51
"22","Maryland",0.361842911957282,986104,13896,10,-12.25
"23","Massachusetts",0.350294109223105,997636,2364,11,-16.04
"24","Michigan",0.461444903368653,704585,295415,16,-0.3
"25","Minnesota",0.461096896265212,761342,238658,10,-0.85
"26","Mississippi",0.580862799437614,172270,827730,6,9.18
"27","Missouri",0.540618698897096,265975,734025,10,9.62
"28","Montana",0.539459988986193,255079,744921,3,9.76
"29","Nebraska",0.568723516226178,112762,887238,4,14.39
"30","Nebraska CD-2",0.481225360174734,626374,373626,1,3.26
"31","Nevada",0.469235484262327,674179,325821,6,0.12
"32","New Hampshire",0.452468958926996,753902,246098,4,-0.21
"33","New Jersey",0.408124189689912,950032,49968,14,-6.18
"34","New Mexico",0.444839449025718,777074,222926,5,-4.14
"35","New York",0.358155493391443,984286,15714,29,-11.53
"36","North Carolina",0.492632250973182,547176,452824,15,3.51
"37","North Dakota",0.584701837648947,44383,955617,3,17.04
"38","Ohio",0.508753570751845,450813,549187,18,4.55
"39","Oklahoma",0.61378435981124,44502,955498,7,19.38
"40","Oregon",0.427082150571785,992640,7360,7,-5.29
"41","Pennsylvania",0.472080333620489,663217,336783,20,0.6
"42","Rhode Island",0.42550427734993,882312,117688,4,-9.39
"43","South Carolina",0.526889511253036,351539,648461,9,8.67
"44","South Dakota",0.601732819784381,77108,922892,3,15.26
"45","Tennessee",0.61884491286486,51012,948988,11,13.93
"46","Texas",0.504824687772331,473780,526220,38,7.2
"47","Utah",0.570832493070922,90394,909606,6,16.94
"48","Vermont",0.38334371562509,966759,33241,3,-15.75
"49","Virginia",0.450947264165043,746947,253053,13,-1.13
"50","Washington",0.406133907899375,955907,44093,12,-7.44
"51","West Virginia",0.638491384966307,13373,986627,5,18.16
"52","Wisconsin",0.467355946782467,703687,296313,10,0.39
"53","Wyoming",0.684261681419072,2089,997911,3,24.64
