"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",2
"48",0
"49",0
"50",1
"51",1
"52",0
"53",0
"54",1
"55",1
"56",1
"57",3
"58",4
"59",4
"60",4
"61",1
"62",3
"63",7
"64",6
"65",5
"66",12
"67",8
"68",15
"69",15
"70",10
"71",12
"72",22
"73",13
"74",19
"75",36
"76",29
"77",44
"78",50
"79",38
"80",46
"81",50
"82",52
"83",75
"84",77
"85",94
"86",117
"87",115
"88",115
"89",140
"90",168
"91",164
"92",171
"93",197
"94",223
"95",219
"96",276
"97",305
"98",283
"99",351
"100",368
"101",394
"102",424
"103",455
"104",508
"105",557
"106",592
"107",599
"108",641
"109",727
"110",706
"111",756
"112",813
"113",937
"114",917
"115",1020
"116",1119
"117",1155
"118",1156
"119",1215
"120",1376
"121",1407
"122",1482
"123",1517
"124",1598
"125",1665
"126",1705
"127",1884
"128",1941
"129",1985
"130",2100
"131",2228
"132",2337
"133",2366
"134",2466
"135",2576
"136",2601
"137",2758
"138",2937
"139",2974
"140",3113
"141",3117
"142",3257
"143",3311
"144",3566
"145",3662
"146",3748
"147",3857
"148",4007
"149",4085
"150",4199
"151",4229
"152",4519
"153",4593
"154",4775
"155",4834
"156",4930
"157",4985
"158",5232
"159",5271
"160",5383
"161",5459
"162",5650
"163",5707
"164",5962
"165",5988
"166",5994
"167",6218
"168",6249
"169",6544
"170",6680
"171",6711
"172",6727
"173",6915
"174",6969
"175",7042
"176",7130
"177",7263
"178",7391
"179",7564
"180",7491
"181",7716
"182",7732
"183",7714
"184",7691
"185",7879
"186",8002
"187",8185
"188",8249
"189",8162
"190",8486
"191",8529
"192",8496
"193",8380
"194",8503
"195",8583
"196",8510
"197",8431
"198",8701
"199",8635
"200",8652
"201",8865
"202",8561
"203",8762
"204",8637
"205",8693
