"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",1
"40",0
"41",0
"42",0
"43",1
"44",0
"45",0
"46",1
"47",0
"48",2
"49",0
"50",1
"51",1
"52",2
"53",2
"54",3
"55",3
"56",3
"57",0
"58",4
"59",2
"60",3
"61",7
"62",6
"63",6
"64",18
"65",7
"66",14
"67",12
"68",13
"69",23
"70",16
"71",20
"72",22
"73",36
"74",33
"75",34
"76",41
"77",46
"78",42
"79",51
"80",70
"81",65
"82",89
"83",78
"84",88
"85",114
"86",115
"87",134
"88",136
"89",149
"90",172
"91",168
"92",189
"93",213
"94",230
"95",228
"96",287
"97",268
"98",296
"99",330
"100",379
"101",339
"102",385
"103",452
"104",475
"105",485
"106",535
"107",540
"108",612
"109",629
"110",648
"111",720
"112",803
"113",836
"114",860
"115",966
"116",938
"117",946
"118",1015
"119",1067
"120",1213
"121",1300
"122",1383
"123",1334
"124",1503
"125",1441
"126",1637
"127",1648
"128",1748
"129",1780
"130",1822
"131",1903
"132",2073
"133",2128
"134",2141
"135",2248
"136",2332
"137",2398
"138",2561
"139",2612
"140",2774
"141",2825
"142",3090
"143",3073
"144",3106
"145",3159
"146",3366
"147",3382
"148",3537
"149",3691
"150",3737
"151",3750
"152",3960
"153",4151
"154",4200
"155",4283
"156",4422
"157",4494
"158",4662
"159",4772
"160",4798
"161",5097
"162",5053
"163",5144
"164",5107
"165",5562
"166",5385
"167",5592
"168",5752
"169",5889
"170",6055
"171",6110
"172",6165
"173",6371
"174",6378
"175",6498
"176",6607
"177",6595
"178",6860
"179",6936
"180",6883
"181",7210
"182",7133
"183",7222
"184",7331
"185",7417
"186",7466
"187",7510
"188",7532
"189",7702
"190",7598
"191",7946
"192",7951
"193",7892
"194",7956
"195",7965
"196",8132
"197",8218
"198",8168
"199",8295
"200",8134
"201",8355
"202",8282
"203",8235
"204",8430
"205",8490
"206",8540
