"","StateName","StateMean","Variance","ElectoralVotes","BPI"
"1","Alabama",0.596315135680211,0.00551853175473055,9,14.53
"2","Alaska",0.519681178537432,0.00429296310706189,3,9
"3","Arizona",0.481065945405194,0.00499570794854058,11,4.2
"4","Arkansas",0.694233082638575,0.00493753175473055,6,15.58
"5","California",0.34176597626492,0.00261222706313175,55,-12.96
"6","Colorado",0.439840159205935,0.00202750372146904,9,-1.26
"7","Connecticut",0.41484746012372,0.00366253175473055,7,-6.95
"8","Delaware",0.443293312927267,0.00423253175473055,3,-7.14
"9","District of Columbia",0.110265808256422,0.00417253175473055,3,-42.87
"10","Florida",0.490834326960842,0.00482624742120655,29,2.84
"11","Georgia",0.499498955265889,0.00498348218545493,16,4.99
"12","Hawaii",0.357336416797018,0.00385753175473055,4,-18.5
"13","Idaho",0.608204342235883,0.00417245768065647,4,18.41
"14","Illinois",0.430976627030397,0.00352094498857413,20,-7.29
"15","Indiana",0.553843622354093,0.00585624452872362,11,9.6
"16","Iowa",0.50492776655477,0.00257082482327435,6,3.35
"17","Kansas",0.549905455899585,0.00535415486761118,6,11.64
"18","Kentucky",0.606458183173536,0.00526971685889343,8,15.08
"19","Louisiana",0.615843251794312,0.00419324051913332,8,12.17
"20","Maine",0.420418891783108,0.00269008785690636,3,-2.89
"21","Maine CD-2",0.502370049160039,0.00273311361935537,1,3.51
"22","Maryland",0.358200473394214,0.003330348628015,10,-12.25
"23","Massachusetts",0.36353212224736,0.00332554032019043,11,-16.04
"24","Michigan",0.468341333371616,0.00541166953871983,16,-0.3
"25","Minnesota",0.463515220976974,0.00335232278730428,10,-0.85
"26","Mississippi",0.58776724011557,0.00653503175473055,6,9.18
"27","Missouri",0.542074256178056,0.00461153710382186,10,9.62
"28","Montana",0.547327551328881,0.00399078983593116,3,9.76
"29","Nebraska",0.568729842701308,0.00357253175473055,4,14.39
"30","Nebraska CD-2",0.48116680216487,0.00376796272729408,1,3.26
"31","Nevada",0.470845413309408,0.00474608860896393,6,0.12
"32","New Hampshire",0.452406433032603,0.00514653860883453,4,-0.21
"33","New Jersey",0.411523511170294,0.00342349596907121,14,-6.18
"34","New Mexico",0.44924328863067,0.00514932118938486,5,-4.14
"35","New York",0.358182920589638,0.00470731532291973,29,-11.53
"36","North Carolina",0.493048002318677,0.00424081410460222,15,3.51
"37","North Dakota",0.584703577501825,0.00282409975473055,3,17.04
"38","Ohio",0.50777018185932,0.00540471813848138,18,4.55
"39","Oklahoma",0.619152002517565,0.00528661043751803,7,19.38
"40","Oregon",0.427093478020874,0.00125131428155288,7,-5.29
"41","Pennsylvania",0.4688822918084,0.0047450528286438,20,0.6
"42","Rhode Island",0.425445186312509,0.00429253175473055,4,-9.39
"43","South Carolina",0.526072182056094,0.0052602585286753,9,8.67
"44","South Dakota",0.626961442663037,0.00505753175473055,3,15.26
"45","Tennessee",0.618844571640094,0.00561253175473055,11,13.93
"46","Texas",0.508126582369689,0.00555576285547872,38,7.2
"47","Utah",0.574214256087949,0.00336737565483009,6,16.94
"48","Vermont",0.383256709140165,0.00441117424042364,3,-15.75
"49","Virginia",0.453343074985156,0.0059362253468311,13,-1.13
"50","Washington",0.413083081842732,0.00346076969616381,12,-7.44
"51","West Virginia",0.638425014414999,0.00423754135692533,5,18.16
"52","Wisconsin",0.466824186669243,0.00407292286158386,10,0.39
"53","Wyoming",0.684224795307416,0.00448753175473055,3,24.64
