"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",2
"83",3
"84",0
"85",0
"86",1
"87",1
"88",3
"89",2
"90",4
"91",4
"92",9
"93",3
"94",11
"95",7
"96",23
"97",11
"98",19
"99",22
"100",25
"101",28
"102",36
"103",40
"104",53
"105",61
"106",71
"107",76
"108",86
"109",83
"110",109
"111",142
"112",155
"113",149
"114",143
"115",186
"116",232
"117",215
"118",270
"119",296
"120",297
"121",364
"122",410
"123",480
"124",523
"125",509
"126",551
"127",637
"128",664
"129",735
"130",807
"131",904
"132",945
"133",995
"134",1109
"135",1189
"136",1292
"137",1392
"138",1478
"139",1545
"140",1697
"141",1766
"142",1957
"143",1959
"144",2096
"145",2177
"146",2332
"147",2519
"148",2688
"149",2849
"150",3003
"151",3047
"152",3216
"153",3358
"154",3539
"155",3595
"156",3943
"157",4135
"158",4214
"159",4419
"160",4399
"161",4755
"162",4989
"163",5144
"164",5290
"165",5423
"166",5571
"167",5892
"168",6028
"169",6087
"170",6382
"171",6529
"172",6809
"173",6815
"174",7150
"175",7258
"176",7441
"177",7585
"178",7802
"179",7903
"180",8117
"181",8335
"182",8566
"183",8472
"184",8759
"185",8926
"186",9088
"187",9238
"188",9150
"189",9281
"190",9637
"191",9938
"192",9856
"193",9792
"194",10088
"195",9955
"196",10185
"197",10109
"198",10264
"199",10358
"200",10439
"201",10580
"202",10660
"203",10681
"204",10812
"205",10703
"206",10674
"207",10786
"208",10743
