"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",1
"36",1
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",1
"46",0
"47",0
"48",0
"49",1
"50",1
"51",1
"52",0
"53",1
"54",2
"55",2
"56",4
"57",2
"58",4
"59",2
"60",3
"61",4
"62",2
"63",3
"64",3
"65",4
"66",11
"67",11
"68",12
"69",16
"70",14
"71",19
"72",18
"73",23
"74",30
"75",23
"76",28
"77",27
"78",38
"79",39
"80",44
"81",59
"82",61
"83",53
"84",71
"85",80
"86",90
"87",91
"88",99
"89",106
"90",116
"91",118
"92",143
"93",163
"94",160
"95",197
"96",203
"97",238
"98",248
"99",288
"100",305
"101",315
"102",338
"103",382
"104",387
"105",387
"106",460
"107",493
"108",506
"109",540
"110",589
"111",591
"112",697
"113",718
"114",696
"115",776
"116",898
"117",838
"118",944
"119",995
"120",1064
"121",1079
"122",1109
"123",1243
"124",1257
"125",1298
"126",1427
"127",1441
"128",1526
"129",1599
"130",1688
"131",1666
"132",1878
"133",1864
"134",1961
"135",2053
"136",2123
"137",2234
"138",2279
"139",2498
"140",2505
"141",2562
"142",2698
"143",2804
"144",2878
"145",2874
"146",3064
"147",3217
"148",3270
"149",3353
"150",3436
"151",3473
"152",3692
"153",3785
"154",3947
"155",4042
"156",4103
"157",4260
"158",4437
"159",4452
"160",4531
"161",4677
"162",4987
"163",4869
"164",4902
"165",5013
"166",5303
"167",5318
"168",5424
"169",5504
"170",5616
"171",5630
"172",5809
"173",5883
"174",5943
"175",6001
"176",6120
"177",6267
"178",6169
"179",6430
"180",6588
"181",6682
"182",6676
"183",6910
"184",6923
"185",7105
"186",7026
"187",7174
"188",7198
"189",7243
"190",7453
"191",7466
"192",7728
"193",7683
"194",7499
"195",7593
"196",7833
"197",7798
"198",7852
"199",7863
"200",7838
"201",7906
"202",8037
"203",7895
"204",8152
"205",8201
"206",8188
