"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.59646116561554,260336,739664,9,14.53
"2","Alaska",0.519637212972257,443026,556974,3,9
"3","Arizona",0.474886305588805,567883,432117,11,4.2
"4","Arkansas",0.694329594898625,92084,907916,6,15.58
"5","California",0.337286252807105,937598,62402,55,-12.96
"6","Colorado",0.442212457828956,720510,279490,9,-1.26
"7","Connecticut",0.414966882704132,746936,253064,7,-6.95
"8","Delaware",0.443356074259305,661009,338991,3,-7.14
"9","District of Columbia",0.109857483504681,997945,2055,3,-42.87
"10","Florida",0.486152156383521,538416,461584,29,2.84
"11","Georgia",0.505389412849728,485164,514836,16,4.99
"12","Hawaii",0.357448815002989,861724,138276,4,-18.5
"13","Idaho",0.608118930655991,205415,794585,4,18.41
"14","Illinois",0.430723107003472,712739,287261,20,-7.29
"15","Indiana",0.559547096545902,350145,649855,11,9.6
"16","Iowa",0.550515727532753,321756,678244,6,3.35
"17","Kansas",0.564714466696063,334114,665886,6,11.64
"18","Kentucky",0.606432464004595,238467,761533,8,15.08
"19","Louisiana",0.594415410260269,240724,759276,8,12.17
"20","Maine",0.422276622764789,759759,240241,3,-2.89
"21","Maine CD-2",0.500383296621535,498235,501765,1,3.51
"22","Maryland",0.358336730531796,882846,117154,10,-12.25
"23","Massachusetts",0.363726001535824,874013,125987,11,-16.04
"24","Michigan",0.470127107779412,577400,422600,16,-0.3
"25","Minnesota",0.462859389217876,618865,381135,10,-0.85
"26","Mississippi",0.587796723121489,295729,704271,6,9.18
"27","Missouri",0.551415943841346,358692,641308,10,9.62
"28","Montana",0.55151363934477,348727,651273,3,9.76
"29","Nebraska",0.568755576740691,293650,706350,4,14.39
"30","Nebraska CD-2",0.506332048039375,480603,519397,1,3.26
"31","Nevada",0.469105494777625,585049,414951,6,0.12
"32","New Hampshire",0.454895252308049,618831,381169,4,-0.21
"33","New Jersey",0.41006645248602,767943,232057,14,-6.18
"34","New Mexico",0.458870046330639,608811,391189,5,-4.14
"35","New York",0.368622170944674,831257,168743,29,-11.53
"36","North Carolina",0.497800729890799,505971,494029,15,3.51
"37","North Dakota",0.584618795680501,214867,785133,3,17.04
"38","Ohio",0.505963712027609,484912,515088,18,4.55
"39","Oklahoma",0.618979259519883,208266,791734,7,19.38
"40","Oregon",0.434436603562103,791421,208579,7,-5.29
"41","Pennsylvania",0.474955674729062,569325,430675,20,0.6
"42","Rhode Island",0.425532815506866,706389,293611,4,-9.39
"43","South Carolina",0.516955454619311,455159,544841,9,8.67
"44","South Dakota",0.626868107546719,196129,803871,3,15.26
"45","Tennessee",0.61850822484835,222815,777185,11,13.93
"46","Texas",0.509617869034332,475038,524962,38,7.2
"47","Utah",0.583673359489724,238125,761875,6,16.94
"48","Vermont",0.383400594619198,806488,193512,3,-15.75
"49","Virginia",0.459624930152057,600515,399485,13,-1.13
"50","Washington",0.422119844406958,736093,263907,12,-7.44
"51","West Virginia",0.675981333556979,85259,914741,5,18.16
"52","Wisconsin",0.465406685442344,602030,397970,10,0.39
"53","Wyoming",0.68409757923198,94812,905188,3,24.64
