"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",1
"45",0
"46",1
"47",1
"48",1
"49",2
"50",1
"51",0
"52",0
"53",0
"54",1
"55",2
"56",3
"57",3
"58",6
"59",2
"60",2
"61",4
"62",11
"63",10
"64",7
"65",16
"66",16
"67",12
"68",10
"69",17
"70",20
"71",20
"72",25
"73",17
"74",31
"75",42
"76",29
"77",55
"78",38
"79",61
"80",61
"81",69
"82",62
"83",63
"84",73
"85",82
"86",94
"87",105
"88",138
"89",155
"90",131
"91",155
"92",192
"93",208
"94",219
"95",237
"96",266
"97",232
"98",271
"99",319
"100",358
"101",370
"102",370
"103",462
"104",501
"105",538
"106",557
"107",550
"108",572
"109",610
"110",676
"111",702
"112",794
"113",796
"114",813
"115",899
"116",926
"117",952
"118",1012
"119",1156
"120",1170
"121",1265
"122",1208
"123",1351
"124",1408
"125",1449
"126",1567
"127",1632
"128",1649
"129",1750
"130",1789
"131",1913
"132",1993
"133",2113
"134",2123
"135",2199
"136",2257
"137",2497
"138",2511
"139",2604
"140",2770
"141",2762
"142",2923
"143",2912
"144",3177
"145",3081
"146",3332
"147",3391
"148",3598
"149",3635
"150",3673
"151",3889
"152",4025
"153",4009
"154",4041
"155",4228
"156",4357
"157",4496
"158",4632
"159",4585
"160",4804
"161",5040
"162",5093
"163",5205
"164",5211
"165",5287
"166",5436
"167",5578
"168",5717
"169",5761
"170",5931
"171",6116
"172",6185
"173",6240
"174",6255
"175",6515
"176",6488
"177",6693
"178",6713
"179",6724
"180",6870
"181",6875
"182",7093
"183",7234
"184",7291
"185",7396
"186",7279
"187",7347
"188",7638
"189",7559
"190",7808
"191",7708
"192",7725
"193",7957
"194",7924
"195",8125
"196",8096
"197",8098
"198",8113
"199",8201
"200",8176
"201",8381
"202",8356
"203",8302
"204",8345
"205",8454
"206",8319
