"","StateName","StateMean","Variance","ElectoralVotes","BPI"
"1","Alabama",0.596315135680211,0.00593003576166799,9,14.53
"2","Alaska",0.519747853054858,0.00492427662545537,3,9
"3","Arizona",0.477464098463218,0.00541897190423537,11,4.2
"4","Arkansas",0.694233082638575,0.00534903576166799,6,15.58
"5","California",0.337075968111866,0.00326554040373706,55,-12.96
"6","Colorado",0.442194962696204,0.00251221130766195,9,-1.26
"7","Connecticut",0.41484746012372,0.00407403576166799,7,-6.95
"8","Delaware",0.443293312927267,0.00464403576166799,3,-7.14
"9","District of Columbia",0.110265808256422,0.00458403576166799,3,-42.87
"10","Florida",0.485941021112312,0.00520854905702299,29,2.84
"11","Georgia",0.502985388960247,0.00541127344331128,16,4.99
"12","Hawaii",0.357336416797018,0.00426903576166799,4,-18.5
"13","Idaho",0.608204342235883,0.00458396168759392,4,18.41
"14","Illinois",0.430940468446936,0.00393243787259514,20,-7.29
"15","Indiana",0.559470019741098,0.00618628088841304,11,9.6
"16","Iowa",0.512582088432971,0.00302072880803748,6,3.35
"17","Kansas",0.550847844013169,0.00601671330956215,6,11.64
"18","Kentucky",0.606458183173536,0.00568122086583087,8,15.08
"19","Louisiana",0.594479414421829,0.00478920242833466,8,12.17
"20","Maine",0.422243427354831,0.00318009007599048,3,-2.89
"21","Maine CD-2",0.500355162038157,0.00316587664909438,1,3.51
"22","Maryland",0.358200473394214,0.00374185263495245,10,-12.25
"23","Massachusetts",0.36353212224736,0.00373704432712788,11,-16.04
"24","Michigan",0.470125288430898,0.00583283768032318,16,-0.3
"25","Minnesota",0.46287630426222,0.00378717861349298,10,-0.85
"26","Mississippi",0.58776724011557,0.00694653576166799,6,9.18
"27","Missouri",0.551547389597412,0.00507090547014207,10,9.62
"28","Montana",0.551250162059676,0.00466714238566799,3,9.76
"29","Nebraska",0.568729842701308,0.00398403576166799,4,14.39
"30","Nebraska CD-2",0.506422622668761,0.00460678576166799,1,3.26
"31","Nevada",0.469170977126145,0.00522229045821847,6,0.12
"32","New Hampshire",0.453898507512186,0.00560729785537373,4,-0.21
"33","New Jersey",0.410050923250672,0.00412210776166799,14,-6.18
"34","New Mexico",0.458839399500891,0.00565661208229662,5,-4.14
"35","New York",0.368459531548334,0.00467403576166799,29,-11.53
"36","North Carolina",0.497856522088376,0.00465699384742419,15,3.51
"37","North Dakota",0.584703577501825,0.00323560376166799,3,17.04
"38","Ohio",0.506018468812476,0.00584735087055969,18,4.55
"39","Oklahoma",0.619152002517565,0.00569811444445547,7,19.38
"40","Oregon",0.434394435940309,0.00198492944317599,7,-5.29
"41","Pennsylvania",0.474976541831035,0.00514981056166655,20,0.6
"42","Rhode Island",0.425445186312509,0.00470403576166799,4,-9.39
"43","South Carolina",0.517798060819763,0.00568163146853788,9,8.67
"44","South Dakota",0.626961442663037,0.00546903576166799,3,15.26
"45","Tennessee",0.618844571640094,0.00602403576166799,11,13.93
"46","Texas",0.509521157481821,0.00600478644660493,38,7.2
"47","Utah",0.583530607394618,0.00362593576166799,6,16.94
"48","Vermont",0.383256709140165,0.00482267824736108,3,-15.75
"49","Virginia",0.459721948612249,0.00666193654258772,13,-1.13
"50","Washington",0.422060045450661,0.00412854302023344,12,-7.44
"51","West Virginia",0.676239900812176,0.00410403576166799,5,18.16
"52","Wisconsin",0.465825539306285,0.00448556517586598,10,0.39
"53","Wyoming",0.684224795307416,0.00489903576166799,3,24.64
