"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",2
"44",0
"45",1
"46",0
"47",1
"48",1
"49",2
"50",1
"51",0
"52",1
"53",5
"54",2
"55",4
"56",1
"57",5
"58",6
"59",5
"60",5
"61",3
"62",8
"63",6
"64",14
"65",10
"66",13
"67",16
"68",11
"69",14
"70",20
"71",25
"72",37
"73",32
"74",45
"75",43
"76",43
"77",58
"78",68
"79",61
"80",69
"81",77
"82",88
"83",86
"84",99
"85",105
"86",135
"87",150
"88",157
"89",186
"90",192
"91",211
"92",238
"93",250
"94",236
"95",309
"96",301
"97",317
"98",324
"99",392
"100",411
"101",449
"102",485
"103",549
"104",533
"105",568
"106",620
"107",682
"108",680
"109",754
"110",784
"111",863
"112",910
"113",964
"114",1027
"115",998
"116",1159
"117",1196
"118",1317
"119",1319
"120",1379
"121",1426
"122",1519
"123",1572
"124",1598
"125",1751
"126",1834
"127",1869
"128",2046
"129",2035
"130",2109
"131",2274
"132",2295
"133",2503
"134",2450
"135",2608
"136",2757
"137",2843
"138",2889
"139",2958
"140",3120
"141",3150
"142",3425
"143",3427
"144",3485
"145",3767
"146",3806
"147",3822
"148",4062
"149",4172
"150",4270
"151",4350
"152",4482
"153",4493
"154",4882
"155",4798
"156",4940
"157",5107
"158",5063
"159",5290
"160",5433
"161",5556
"162",5611
"163",5792
"164",5940
"165",6006
"166",5963
"167",6182
"168",6253
"169",6429
"170",6488
"171",6632
"172",6663
"173",6746
"174",6974
"175",6976
"176",7146
"177",7251
"178",7200
"179",7348
"180",7386
"181",7537
"182",7490
"183",7685
"184",7783
"185",7891
"186",7969
"187",7859
"188",8113
"189",8010
"190",8109
"191",8228
"192",8369
"193",8318
"194",8361
"195",8312
"196",8388
"197",8348
"198",8595
"199",8673
"200",8677
"201",8584
"202",8571
"203",8692
"204",8648
"205",8585
