"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",2
"82",1
"83",0
"84",1
"85",1
"86",0
"87",0
"88",4
"89",3
"90",1
"91",2
"92",3
"93",0
"94",7
"95",10
"96",9
"97",6
"98",13
"99",10
"100",8
"101",16
"102",36
"103",26
"104",26
"105",27
"106",46
"107",48
"108",53
"109",64
"110",78
"111",81
"112",105
"113",88
"114",117
"115",139
"116",164
"117",187
"118",170
"119",207
"120",238
"121",287
"122",313
"123",328
"124",393
"125",390
"126",430
"127",451
"128",492
"129",552
"130",577
"131",650
"132",727
"133",813
"134",839
"135",900
"136",1004
"137",1042
"138",1163
"139",1227
"140",1319
"141",1441
"142",1486
"143",1562
"144",1747
"145",1810
"146",1951
"147",2008
"148",2159
"149",2326
"150",2442
"151",2609
"152",2683
"153",2824
"154",2873
"155",3138
"156",3268
"157",3474
"158",3659
"159",3691
"160",3877
"161",4005
"162",4183
"163",4337
"164",4656
"165",4815
"166",4882
"167",4980
"168",5317
"169",5540
"170",5638
"171",5753
"172",5926
"173",6248
"174",6326
"175",6441
"176",6570
"177",6909
"178",7120
"179",7216
"180",7482
"181",7487
"182",7697
"183",8057
"184",8168
"185",8156
"186",8371
"187",8565
"188",8745
"189",8731
"190",8986
"191",8929
"192",9258
"193",9430
"194",9589
"195",9628
"196",9727
"197",9741
"198",10110
"199",9917
"200",10165
"201",10025
"202",10302
"203",10122
"204",10494
"205",10508
"206",10536
"207",10523
"208",10522
"209",10482
