"","StateName","StateMean","Variance","ElectoralVotes","BPI"
"1","Alabama",0.619323510705329,0.00512658914874004,9,14.53
"2","Alaska",0.520787233901613,0.00378673908049025,3,9
"3","Arizona",0.483960094669422,0.00453368337571778,11,4.2
"4","Arkansas",0.66909680263556,0.00484306303223139,6,15.58
"5","California",0.348439148677679,0.00206743021866423,55,-12.96
"6","Colorado",0.439657321217058,0.00155442367651131,9,-1.26
"7","Connecticut",0.41484746012372,0.003205,7,-6.95
"8","Delaware",0.443293312927267,0.003775,3,-7.14
"9","District of Columbia",0.110265808256422,0.003715,3,-42.87
"10","Florida",0.491981211492713,0.0043630677675953,29,2.84
"11","Georgia",0.497859091649891,0.00452016490037544,16,4.99
"12","Hawaii",0.349475442176937,0.00362548753011353,4,-18.5
"13","Idaho",0.608204342235883,0.00371492592592593,4,18.41
"14","Illinois",0.430976627030397,0.00306341323384358,20,-7.29
"15","Indiana",0.553843622354093,0.0053987127739931,11,9.6
"16","Iowa",0.504484784761276,0.00210082796085015,6,3.35
"17","Kansas",0.554991223488348,0.00488826446998954,6,11.64
"18","Kentucky",0.60212053530789,0.00478293861896287,8,15.08
"19","Louisiana",0.613509741215005,0.00364503759346395,8,12.17
"20","Maine",0.420420488782156,0.00223199455957245,3,-2.89
"21","Maine CD-2",0.502370336107498,0.00227559901703184,1,3.51
"22","Maryland",0.361858962445406,0.00289896545935184,10,-12.25
"23","Massachusetts",0.350256023804604,0.00273608867928528,11,-16.04
"24","Michigan",0.461397018934029,0.00503699262757087,16,-0.3
"25","Minnesota",0.461154669706063,0.00288493865775597,10,-0.85
"26","Mississippi",0.580852175276781,0.00588757789259225,6,9.18
"27","Missouri",0.540563097984525,0.00414588266730534,10,9.62
"28","Montana",0.539508021206098,0.0034634298278467,3,9.76
"29","Nebraska",0.568729842701308,0.003115,4,14.39
"30","Nebraska CD-2",0.48116680216487,0.00331043097256354,1,3.26
"31","Nevada",0.469166604994874,0.00427743421588916,6,0.12
"32","New Hampshire",0.452406433032603,0.00468900685410398,4,-0.21
"33","New Jersey",0.408175961505364,0.00289327331800007,14,-6.18
"34","New Mexico",0.444870855645769,0.00466387776077766,5,-4.14
"35","New York",0.358182920589638,0.00424978356818918,29,-11.53
"36","North Carolina",0.492664088135056,0.00378106173788491,15,3.51
"37","North Dakota",0.584703577501825,0.002366568,3,17.04
"38","Ohio",0.508823871379615,0.00494065131803731,18,4.55
"39","Oklahoma",0.613802008399415,0.00438251156341111,7,19.38
"40","Oregon",0.427093478020874,0.000793782526822333,7,-5.29
"41","Pennsylvania",0.472080349727707,0.00427481892220177,20,0.6
"42","Rhode Island",0.425445186312509,0.003835,4,-9.39
"43","South Carolina",0.526870104726127,0.00479097060661193,9,8.67
"44","South Dakota",0.601612694379003,0.00499516,3,15.26
"45","Tennessee",0.618844571640094,0.005155,11,13.93
"46","Texas",0.504775957332239,0.00509375622956243,38,7.2
"47","Utah",0.570797125387339,0.00265814439296371,6,16.94
"48","Vermont",0.383256709140165,0.00395364248569309,3,-15.75
"49","Virginia",0.451027893286472,0.00534107752324639,13,-1.13
"50","Washington",0.406136718055098,0.00292470723214131,12,-7.44
"51","West Virginia",0.638425014414999,0.00378000960219479,5,18.16
"52","Wisconsin",0.467367791112163,0.00361449737312871,10,0.39
"53","Wyoming",0.684224795307416,0.00403,3,24.64
