"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596329867700926,98376,901624,9,14.53
"2","Alaska",0.519675903609333,383000,617000,3,9
"3","Arizona",0.479443483770723,613479,386521,11,4.2
"4","Arkansas",0.694146903181481,3110,996890,6,15.58
"5","California",0.341777980151617,998928,1072,55,-12.96
"6","Colorado",0.443460624715795,890688,109312,9,-1.26
"7","Connecticut",0.414951677621223,918623,81377,7,-6.95
"8","Delaware",0.443267804855528,806863,193137,3,-7.14
"9","District of Columbia",0.110327216031196,1e+06,0,3,-42.87
"10","Florida",0.483169438725822,595456,404544,29,2.84
"11","Georgia",0.497175877548468,515374,484626,16,4.99
"12","Hawaii",0.357259072188141,988903,11097,4,-18.5
"13","Idaho",0.608197851721225,47777,952223,4,18.41
"14","Illinois",0.431025613001097,875729,124271,20,-7.29
"15","Indiana",0.559402926852496,218106,781894,11,9.6
"16","Iowa",0.504318150759969,465971,534029,6,3.35
"17","Kansas",0.549885496109694,248806,751194,6,11.64
"18","Kentucky",0.606596307031332,71625,928375,8,15.08
"19","Louisiana",0.594510387534345,78038,921962,8,12.17
"20","Maine",0.417904601443263,939826,60174,3,-2.89
"21","Maine CD-2",0.506859181265116,449128,550872,1,3.51
"22","Maryland",0.358157306187643,992748,7252,10,-12.25
"23","Massachusetts",0.363415343088317,990521,9479,11,-16.04
"24","Michigan",0.469053207668124,662275,337725,16,-0.3
"25","Minnesota",0.463339268139729,734839,265161,10,-0.85
"26","Mississippi",0.587532216721276,139960,860040,6,9.18
"27","Missouri",0.541579806992668,271524,728476,10,9.62
"28","Montana",0.547406227415444,228178,771822,3,9.76
"29","Nebraska",0.568715559313939,126947,873053,4,14.39
"30","Nebraska CD-2",0.481129288505174,620151,379849,1,3.26
"31","Nevada",0.468999352047237,672235,327765,6,0.12
"32","New Hampshire",0.454914926468287,733730,266270,4,-0.21
"33","New Jersey",0.411589429557673,933005,66995,14,-6.18
"34","New Mexico",0.449351963400198,758642,241358,5,-4.14
"35","New York",0.358255209754995,979907,20093,29,-11.53
"36","North Carolina",0.495569409538404,526792,473208,15,3.51
"37","North Dakota",0.584678864420689,57208,942792,3,17.04
"38","Ohio",0.502303617087427,487269,512731,18,4.55
"39","Oklahoma",0.619230525106033,51247,948753,7,19.38
"40","Oregon",0.427139209771156,978275,21725,7,-5.29
"41","Pennsylvania",0.472281977295735,655373,344627,20,0.6
"42","Rhode Island",0.425458948314484,870573,129427,4,-9.39
"43","South Carolina",0.517684500117429,404071,595929,9,8.67
"44","South Dakota",0.627054122170542,37739,962261,3,15.26
"45","Tennessee",0.618790772121853,57175,942825,11,13.93
"46","Texas",0.508437403129005,454676,545324,38,7.2
"47","Utah",0.574290288862717,102177,897823,6,16.94
"48","Vermont",0.383325586751204,959331,40669,3,-15.75
"49","Virginia",0.459658560795515,694488,305512,13,-1.13
"50","Washington",0.413111204646441,928868,71132,12,-7.44
"51","West Virginia",0.676307578323879,1934,998066,5,18.16
"52","Wisconsin",0.47815362294873,633020,366980,10,0.39
"53","Wyoming",0.684269562630492,3169,996831,3,24.64
