"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596291289997152,254088,745912,9,14.53
"2","Alaska",0.519749484505254,439476,560524,3,9
"3","Arizona",0.479397866355202,557745,442255,11,4.2
"4","Arkansas",0.694259059272149,85249,914751,6,15.58
"5","California",0.353572572724636,933510,66490,55,-12.96
"6","Colorado",0.443603797553533,732051,267949,9,-1.26
"7","Connecticut",0.414769576727793,757499,242501,7,-6.95
"8","Delaware",0.443412006837281,666902,333098,3,-7.14
"9","District of Columbia",0.110238509044314,998499,1501,3,-42.87
"10","Florida",0.482886564342199,548746,451254,29,2.84
"11","Georgia",0.497252612593635,507676,492324,16,4.99
"12","Hawaii",0.357341165979725,872585,127415,4,-18.5
"13","Idaho",0.608162541569726,194546,805454,4,18.41
"14","Illinois",0.430958103715222,722112,277888,20,-7.29
"15","Indiana",0.559403136269189,346260,653740,11,9.6
"16","Iowa",0.504367146076466,483498,516502,6,3.35
"17","Kansas",0.549926499553564,366172,633828,6,11.64
"18","Kentucky",0.606614267250769,230851,769149,8,15.08
"19","Louisiana",0.594614761846057,231189,768811,8,12.17
"20","Maine",0.417898697362775,786625,213375,3,-2.89
"21","Maine CD-2",0.506835522147565,473194,526806,1,3.51
"22","Maryland",0.358135964436309,894594,105406,10,-12.25
"23","Massachusetts",0.363539686653227,885888,114112,11,-16.04
"24","Michigan",0.467811785893722,586025,413975,16,-0.3
"25","Minnesota",0.463317324199576,623579,376421,10,-0.85
"26","Mississippi",0.587310204698764,291291,708709,6,9.18
"27","Missouri",0.54179352420336,379687,620313,10,9.62
"28","Montana",0.54746740576802,352991,647009,3,9.76
"29","Nebraska",0.569006625020112,284163,715837,4,14.39
"30","Nebraska CD-2",0.480972075982916,562501,437499,1,3.26
"31","Nevada",0.468859245625228,588823,411177,6,0.12
"32","New Hampshire",0.454834062888043,623141,376859,4,-0.21
"33","New Jersey",0.41143349357218,777973,222027,14,-6.18
"34","New Mexico",0.449088630859737,638747,361253,5,-4.14
"35","New York",0.358105929406291,856541,143459,29,-11.53
"36","North Carolina",0.495374677736605,514200,485800,15,3.51
"37","North Dakota",0.584550095940588,200666,799334,3,17.04
"38","Ohio",0.502469026002805,493420,506580,18,4.55
"39","Oklahoma",0.61898507298621,200241,799759,7,19.38
"40","Oregon",0.427179607607758,853644,146356,7,-5.29
"41","Pennsylvania",0.472357573421722,578883,421117,20,0.6
"42","Rhode Island",0.425584694898897,713390,286610,4,-9.39
"43","South Carolina",0.517920103007632,451194,548806,9,8.67
"44","South Dakota",0.626790516435562,187731,812269,3,15.26
"45","Tennessee",0.618987490278742,214923,785077,11,13.93
"46","Texas",0.508728141222482,476949,523051,38,7.2
"47","Utah",0.574303662677726,254663,745337,6,16.94
"48","Vermont",0.383328053392416,816439,183561,3,-15.75
"49","Virginia",0.459843553764813,602709,397291,13,-1.13
"50","Washington",0.421987493118294,746590,253410,12,-7.44
"51","West Virginia",0.676246901976586,75677,924323,5,18.16
"52","Wisconsin",0.466530500990906,602839,397161,10,0.39
"53","Wyoming",0.684053275583719,86179,913821,3,24.64
