"","StateName","StateMean","Variance","ElectoralVotes","BPI"
"1","Alabama",0.619323510705329,0.0053533205785766,9,14.53
"2","Alaska",0.520787233901613,0.00401347051032681,3,9
"3","Arizona",0.481754368867197,0.0047620412357882,11,4.2
"4","Arkansas",0.66909680263556,0.00506979446206795,6,15.58
"5","California",0.34176597626492,0.00238142673823776,55,-12.96
"6","Colorado",0.441508063802729,0.00178425013473564,9,-1.26
"7","Connecticut",0.41484746012372,0.00343173142983656,7,-6.95
"8","Delaware",0.443293312927267,0.00400173142983656,3,-7.14
"9","District of Columbia",0.110265808256422,0.00394173142983656,3,-42.87
"10","Florida",0.483662379886877,0.00456192493440979,29,2.84
"11","Georgia",0.497072195657572,0.00475020285371373,16,4.99
"12","Hawaii",0.349475442176937,0.00385221895995009,4,-18.5
"13","Idaho",0.608204342235883,0.00394165735576249,4,18.41
"14","Illinois",0.430976627030397,0.00329014466368014,20,-7.29
"15","Indiana",0.553843622354093,0.00562544420382963,11,9.6
"16","Iowa",0.503267841687145,0.00233401258861715,6,3.35
"17","Kansas",0.571960920712495,0.00506070221928226,6,11.64
"18","Kentucky",0.60212053530789,0.00500967004879943,8,15.08
"19","Louisiana",0.615843251794312,0.00396244019423933,8,12.17
"20","Maine",0.420418891783108,0.00245928753201237,3,-2.89
"21","Maine CD-2",0.502370049160039,0.00250231329446138,1,3.51
"22","Maryland",0.358200473394214,0.00309954830312101,10,-12.25
"23","Massachusetts",0.36353212224736,0.00309473999529644,11,-16.04
"24","Michigan",0.468005553730125,0.00518022584029208,16,-0.3
"25","Minnesota",0.463858491602024,0.00311433195572098,10,-0.85
"26","Mississippi",0.58776724011557,0.00630423142983656,6,9.18
"27","Missouri",0.540563097984525,0.0043726140971419,10,9.62
"28","Montana",0.547327551328881,0.00375998951103717,3,9.76
"29","Nebraska",0.568729842701308,0.00334173142983656,4,14.39
"30","Nebraska CD-2",0.48116680216487,0.00353716240240009,1,3.26
"31","Nevada",0.469179290516299,0.00450934697870273,6,0.12
"32","New Hampshire",0.452406433032603,0.00491573828394054,4,-0.21
"33","New Jersey",0.408175961505364,0.00312000474783663,14,-6.18
"34","New Mexico",0.444870855645769,0.00489060919061422,5,-4.14
"35","New York",0.358182920589638,0.00447651499802574,29,-11.53
"36","North Carolina",0.492692355372113,0.00400909514072051,15,3.51
"37","North Dakota",0.584703577501825,0.00259329942983656,3,17.04
"38","Ohio",0.504229003007979,0.00517509198999309,18,4.55
"39","Oklahoma",0.619152002517565,0.00505581011262404,7,19.38
"40","Oregon",0.427093478020874,0.00102051395665889,7,-5.29
"41","Pennsylvania",0.472929185135442,0.00450250689508373,20,0.6
"42","Rhode Island",0.425445186312509,0.00406173142983656,4,-9.39
"43","South Carolina",0.526072182056094,0.0050294582037813,9,8.67
"44","South Dakota",0.626961442663037,0.00482673142983656,3,15.26
"45","Tennessee",0.618844571640094,0.00538173142983656,11,13.93
"46","Texas",0.506825914365146,0.00532256331446729,38,7.2
"47","Utah",0.574214256087949,0.0031365753299361,6,16.94
"48","Vermont",0.383256709140165,0.00418037391552965,3,-15.75
"49","Virginia",0.452205998060448,0.00558901655000141,13,-1.13
"50","Washington",0.406136718055098,0.00315143866197787,12,-7.44
"51","West Virginia",0.638425014414999,0.00400674103203134,5,18.16
"52","Wisconsin",0.478048319216309,0.00385464415427198,10,0.39
"53","Wyoming",0.684224795307416,0.00425673142983656,3,24.64
