"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596345802400911,111823,888177,9,14.53
"2","Alaska",0.519792665306228,390218,609782,3,9
"3","Arizona",0.474839470291123,629043,370957,11,4.2
"4","Arkansas",0.694329931434383,4997,995003,6,15.58
"5","California",0.337211336169525,991091,8909,55,-12.96
"6","Colorado",0.442208031549151,866961,133039,9,-1.26
"7","Connecticut",0.414805574737003,904601,95399,7,-6.95
"8","Delaware",0.443262393370955,793446,206554,3,-7.14
"9","District of Columbia",0.110287031015857,1e+06,0,3,-42.87
"10","Florida",0.486334625565049,573334,426666,29,2.84
"11","Georgia",0.498603247964509,506631,493369,16,4.99
"12","Hawaii",0.357362646496769,982545,17455,4,-18.5
"13","Idaho",0.60820739223776,58247,941753,4,18.41
"14","Illinois",0.428962406485406,872736,127264,20,-7.29
"15","Indiana",0.559486253020945,227077,772923,11,9.6
"16","Iowa",0.550548928597354,188923,811077,6,3.35
"17","Kansas",0.564858942641892,204773,795227,6,11.64
"18","Kentucky",0.606464681860122,82200,917800,8,15.08
"19","Louisiana",0.59450130265574,108392,891608,8,12.17
"20","Maine",0.420679581009906,912792,87208,3,-2.89
"21","Maine CD-2",0.500415205495855,497124,502876,1,3.51
"22","Maryland",0.358219915877579,976953,23047,10,-12.25
"23","Massachusetts",0.363626230000051,985605,14395,11,-16.04
"24","Michigan",0.470172192310668,650022,349978,16,-0.3
"25","Minnesota",0.462899893335679,722318,277682,10,-0.85
"26","Mississippi",0.587922706534719,173485,826515,6,9.18
"27","Missouri",0.551517738207307,238374,761626,10,9.62
"28","Montana",0.551419887201876,229961,770039,3,9.76
"29","Nebraska",0.568843324105179,142643,857357,4,14.39
"30","Nebraska CD-2",0.506430570225383,463063,536937,1,3.26
"31","Nevada",0.462870707764802,687857,312143,6,0.12
"32","New Hampshire",0.462884286613476,685234,314766,4,-0.21
"33","New Jersey",0.410060784075962,911704,88296,14,-6.18
"34","New Mexico",0.458862605547674,696152,303848,5,-4.14
"35","New York",0.368341470302232,971104,28896,29,-11.53
"36","North Carolina",0.49826570226686,509928,490072,15,3.51
"37","North Dakota",0.584699116749949,73661,926339,3,17.04
"38","Ohio",0.506053454701177,468550,531450,18,4.55
"39","Oklahoma",0.619120325172492,59995,940005,7,19.38
"40","Oregon",0.434375457503377,921499,78501,7,-5.29
"41","Pennsylvania",0.47492009328411,634719,365281,20,0.6
"42","Rhode Island",0.425422174752187,857738,142262,4,-9.39
"43","South Carolina",0.517899826513327,408647,591353,9,8.67
"44","South Dakota",0.627100608317895,45321,954679,3,15.26
"45","Tennessee",0.618923475220828,65809,934191,11,13.93
"46","Texas",0.509669521128432,450836,549164,38,7.2
"47","Utah",0.583615217519773,88318,911682,6,16.94
"48","Vermont",0.383242898539797,950950,49050,3,-15.75
"49","Virginia",0.459758172858197,687105,312895,13,-1.13
"50","Washington",0.422068950535904,882760,117240,12,-7.44
"51","West Virginia",0.676399333781323,3542,996458,5,18.16
"52","Wisconsin",0.464845470994281,697095,302905,10,0.39
"53","Wyoming",0.684256506112608,4751,995249,3,24.64
