"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",2
"46",2
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",1
"55",2
"56",2
"57",2
"58",3
"59",9
"60",3
"61",6
"62",3
"63",14
"64",5
"65",9
"66",17
"67",15
"68",16
"69",13
"70",23
"71",13
"72",16
"73",18
"74",31
"75",34
"76",43
"77",49
"78",42
"79",52
"80",62
"81",70
"82",59
"83",76
"84",78
"85",101
"86",100
"87",110
"88",119
"89",116
"90",158
"91",204
"92",158
"93",192
"94",207
"95",224
"96",244
"97",282
"98",285
"99",320
"100",314
"101",379
"102",384
"103",438
"104",401
"105",452
"106",525
"107",610
"108",607
"109",656
"110",663
"111",701
"112",728
"113",813
"114",937
"115",976
"116",989
"117",978
"118",1018
"119",1123
"120",1177
"121",1266
"122",1323
"123",1342
"124",1403
"125",1511
"126",1641
"127",1653
"128",1715
"129",1805
"130",1941
"131",1981
"132",1987
"133",2093
"134",2177
"135",2325
"136",2441
"137",2482
"138",2568
"139",2713
"140",2804
"141",2938
"142",3001
"143",3087
"144",3160
"145",3340
"146",3497
"147",3494
"148",3571
"149",3657
"150",3825
"151",3918
"152",4121
"153",4009
"154",4251
"155",4388
"156",4512
"157",4591
"158",4776
"159",4851
"160",4936
"161",4832
"162",5205
"163",5376
"164",5281
"165",5560
"166",5680
"167",5658
"168",5763
"169",5912
"170",6042
"171",6080
"172",6236
"173",6253
"174",6442
"175",6391
"176",6634
"177",6727
"178",6889
"179",6835
"180",7098
"181",6995
"182",7205
"183",7179
"184",7287
"185",7346
"186",7476
"187",7335
"188",7754
"189",7613
"190",7713
"191",7718
"192",7911
"193",7843
"194",7922
"195",7951
"196",7998
"197",8097
"198",8140
"199",8169
"200",8133
"201",8213
"202",8174
"203",8215
"204",8407
"205",8270
"206",8324
