"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596187856477363,103623,896377,9,14.53
"2","Alaska",0.51966269857187,385911,614089,3,9
"3","Arizona",0.477560525587975,620974,379026,11,4.2
"4","Arkansas",0.694260186342874,3534,996466,6,15.58
"5","California",0.35345718203736,997046,2954,55,-12.96
"6","Colorado",0.442137429730319,881381,118619,9,-1.26
"7","Connecticut",0.414909754189976,911949,88051,7,-6.95
"8","Delaware",0.443374394445679,800120,199880,3,-7.14
"9","District of Columbia",0.110402374232369,1e+06,0,3,-42.87
"10","Florida",0.485439575866952,580702,419298,29,2.84
"11","Georgia",0.496831297724775,517733,482267,16,4.99
"12","Hawaii",0.357287986026238,986601,13399,4,-18.5
"13","Idaho",0.608155185282074,52759,947241,4,18.41
"14","Illinois",0.430914990601389,868677,131323,20,-7.29
"15","Indiana",0.559566080810337,222812,777188,11,9.6
"16","Iowa",0.512660005515296,407419,592581,6,3.35
"17","Kansas",0.549852273066424,254040,745960,6,11.64
"18","Kentucky",0.606643283957438,76178,923822,8,15.08
"19","Louisiana",0.594506172216706,83397,916603,8,12.17
"20","Maine",0.417774061053138,932369,67631,3,-2.89
"21","Maine CD-2",0.506775911884488,452318,547682,1,3.51
"22","Maryland",0.358306359325043,990676,9324,10,-12.25
"23","Massachusetts",0.363507477001752,988363,11637,11,-16.04
"24","Michigan",0.490309590944309,550726,449274,16,-0.3
"25","Minnesota",0.462960637080748,729751,270249,10,-0.85
"26","Mississippi",0.587686077358543,144168,855832,6,9.18
"27","Missouri",0.544981525884382,261305,738695,10,9.62
"28","Montana",0.54476090561858,248224,751776,3,9.76
"29","Nebraska",0.568837463345129,134099,865901,4,14.39
"30","Nebraska CD-2",0.493042262366726,543009,456991,1,3.26
"31","Nevada",0.469223284347897,667062,332938,6,0.12
"32","New Hampshire",0.45403522991009,732712,267288,4,-0.21
"33","New Jersey",0.40999376469457,922326,77674,14,-6.18
"34","New Mexico",0.458808951274363,709852,290148,5,-4.14
"35","New York",0.35826069848527,977468,22532,29,-11.53
"36","North Carolina",0.497768683815579,513064,486936,15,3.51
"37","North Dakota",0.584685252858622,64829,935171,3,17.04
"38","Ohio",0.499216031871298,504571,495429,18,4.55
"39","Oklahoma",0.619038212355568,55475,944525,7,19.38
"40","Oregon",0.426995795354234,968449,31551,7,-5.29
"41","Pennsylvania",0.474544950402656,640086,359914,20,0.6
"42","Rhode Island",0.42544175255899,864432,135568,4,-9.39
"43","South Carolina",0.517888471304651,405620,594380,9,8.67
"44","South Dakota",0.627029769630065,41486,958514,3,15.26
"45","Tennessee",0.618987909964099,60678,939322,11,13.93
"46","Texas",0.510991631180181,442782,557218,38,7.2
"47","Utah",0.574223497961667,109956,890044,6,16.94
"48","Vermont",0.383177809400636,955775,44225,3,-15.75
"49","Virginia",0.459672131887052,691096,308904,13,-1.13
"50","Washington",0.421967800105447,891326,108674,12,-7.44
"51","West Virginia",0.676188661869668,2599,997401,5,18.16
"52","Wisconsin",0.466355883460645,694293,305707,10,0.39
"53","Wyoming",0.684136129298567,3872,996128,3,24.64
