"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596251723284079,110869,889131,9,14.53
"2","Alaska",0.527793061678888,344395,655605,3,9
"3","Arizona",0.477590956663866,615900,384100,11,4.2
"4","Arkansas",0.694218839711654,4745,995255,6,15.58
"5","California",0.332791590598471,995599,4401,55,-12.96
"6","Colorado",0.442181208520207,869931,130069,9,-1.26
"7","Connecticut",0.414899788122929,905941,94059,7,-6.95
"8","Delaware",0.443341561512191,794049,205951,3,-7.14
"9","District of Columbia",0.110250885060701,1e+06,0,3,-42.87
"10","Florida",0.486050938907129,575268,424732,29,2.84
"11","Georgia",0.502139013380447,490397,509603,16,4.99
"12","Hawaii",0.357252562752141,983068,16932,4,-18.5
"13","Idaho",0.608258256574379,56825,943175,4,18.41
"14","Illinois",0.43097977980807,861557,138443,20,-7.29
"15","Indiana",0.559509953887796,226217,773783,11,9.6
"16","Iowa",0.512575945049066,410495,589505,6,3.35
"17","Kansas",0.550805816046654,257891,742109,6,11.64
"18","Kentucky",0.606392003796043,81366,918634,8,15.08
"19","Louisiana",0.594502719901131,106483,893517,8,12.17
"20","Maine",0.417715897264848,924629,75371,3,-2.89
"21","Maine CD-2",0.506829979657474,453360,546640,1,3.51
"22","Maryland",0.358196059179842,977409,22591,10,-12.25
"23","Massachusetts",0.363479537252696,986324,13676,11,-16.04
"24","Michigan",0.470245188580776,650591,349409,16,-0.3
"25","Minnesota",0.461569902966484,730075,269925,10,-0.85
"26","Mississippi",0.587696509910508,172861,827139,6,9.18
"27","Missouri",0.549920251000433,243537,756463,10,9.62
"28","Montana",0.55119178867355,230067,769933,3,9.76
"29","Nebraska",0.568674843663523,141887,858113,4,14.39
"30","Nebraska CD-2",0.493070140506141,542008,457992,1,3.26
"31","Nevada",0.469255600282237,658085,341915,6,0.12
"32","New Hampshire",0.453693360252785,730215,269785,4,-0.21
"33","New Jersey",0.410156819240806,912638,87362,14,-6.18
"34","New Mexico",0.458810782168558,697007,302993,5,-4.14
"35","New York",0.368603700013329,971320,28680,29,-11.53
"36","North Carolina",0.497545440662638,513901,486099,15,3.51
"37","North Dakota",0.584654067182441,72123,927877,3,17.04
"38","Ohio",0.5061662206357,467698,532302,18,4.55
"39","Oklahoma",0.619100235890269,59037,940963,7,19.38
"40","Oregon",0.434356564354113,924368,75632,7,-5.29
"41","Pennsylvania",0.47497069931108,634913,365087,20,0.6
"42","Rhode Island",0.425353404896463,858617,141383,4,-9.39
"43","South Carolina",0.517781583958204,408129,591871,9,8.67
"44","South Dakota",0.626969989045983,44783,955217,3,15.26
"45","Tennessee",0.618757863635761,65282,934718,11,13.93
"46","Texas",0.509811439495463,450526,549474,38,7.2
"47","Utah",0.583545416034961,87155,912845,6,16.94
"48","Vermont",0.383050715864794,952423,47577,3,-15.75
"49","Virginia",0.459684311388943,687475,312525,13,-1.13
"50","Washington",0.42215817294296,884818,115182,12,-7.44
"51","West Virginia",0.676353829580407,3280,996720,5,18.16
"52","Wisconsin",0.465805478001336,692634,307366,10,0.39
"53","Wyoming",0.684251513069236,4618,995382,3,24.64
