"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",1
"46",1
"47",0
"48",0
"49",1
"50",0
"51",0
"52",1
"53",1
"54",1
"55",1
"56",0
"57",1
"58",3
"59",2
"60",1
"61",4
"62",4
"63",3
"64",5
"65",5
"66",8
"67",8
"68",11
"69",14
"70",9
"71",4
"72",14
"73",19
"74",9
"75",21
"76",21
"77",40
"78",29
"79",41
"80",39
"81",57
"82",52
"83",46
"84",75
"85",76
"86",77
"87",103
"88",99
"89",133
"90",130
"91",143
"92",177
"93",182
"94",202
"95",229
"96",234
"97",268
"98",276
"99",326
"100",314
"101",374
"102",387
"103",433
"104",481
"105",575
"106",555
"107",599
"108",678
"109",671
"110",680
"111",767
"112",880
"113",936
"114",933
"115",973
"116",1113
"117",1161
"118",1213
"119",1276
"120",1354
"121",1417
"122",1473
"123",1644
"124",1608
"125",1752
"126",1872
"127",1939
"128",2036
"129",2154
"130",2158
"131",2249
"132",2533
"133",2514
"134",2512
"135",2656
"136",2817
"137",2931
"138",3140
"139",3094
"140",3295
"141",3486
"142",3506
"143",3676
"144",3775
"145",3776
"146",3997
"147",4253
"148",4327
"149",4296
"150",4481
"151",4583
"152",4800
"153",4853
"154",5008
"155",5135
"156",5205
"157",5448
"158",5627
"159",5566
"160",6066
"161",5877
"162",6055
"163",6114
"164",6320
"165",6243
"166",6563
"167",6740
"168",6632
"169",6904
"170",7013
"171",7085
"172",7227
"173",7418
"174",7510
"175",7730
"176",7608
"177",7852
"178",7873
"179",7915
"180",8103
"181",8063
"182",8328
"183",8312
"184",8313
"185",8494
"186",8606
"187",8617
"188",8615
"189",8701
"190",8774
"191",8990
"192",8965
"193",9094
"194",8952
"195",9092
"196",9091
"197",9112
"198",9031
"199",9004
"200",9057
"201",9102
"202",9177
"203",9083
"204",8934
"205",9190
