"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",1
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",1
"46",0
"47",2
"48",0
"49",0
"50",0
"51",3
"52",0
"53",3
"54",2
"55",2
"56",4
"57",3
"58",3
"59",3
"60",6
"61",6
"62",9
"63",15
"64",8
"65",12
"66",10
"67",18
"68",16
"69",15
"70",26
"71",19
"72",25
"73",21
"74",37
"75",35
"76",31
"77",32
"78",52
"79",45
"80",65
"81",73
"82",66
"83",78
"84",86
"85",91
"86",113
"87",121
"88",123
"89",137
"90",166
"91",189
"92",191
"93",191
"94",220
"95",248
"96",284
"97",303
"98",326
"99",333
"100",388
"101",393
"102",427
"103",488
"104",463
"105",544
"106",551
"107",633
"108",628
"109",644
"110",770
"111",755
"112",791
"113",859
"114",933
"115",956
"116",1028
"117",1073
"118",1103
"119",1107
"120",1220
"121",1356
"122",1360
"123",1485
"124",1495
"125",1598
"126",1731
"127",1703
"128",1878
"129",1917
"130",2020
"131",2028
"132",2226
"133",2317
"134",2321
"135",2509
"136",2542
"137",2552
"138",2729
"139",2773
"140",2943
"141",3029
"142",3115
"143",3145
"144",3291
"145",3405
"146",3525
"147",3640
"148",3721
"149",3803
"150",3979
"151",4070
"152",4282
"153",4224
"154",4452
"155",4610
"156",4620
"157",4698
"158",4764
"159",4852
"160",4950
"161",5119
"162",5177
"163",5303
"164",5515
"165",5621
"166",5665
"167",5797
"168",6001
"169",5994
"170",6011
"171",6323
"172",6403
"173",6386
"174",6450
"175",6655
"176",6709
"177",6891
"178",6896
"179",6883
"180",7204
"181",7041
"182",7222
"183",7265
"184",7393
"185",7494
"186",7705
"187",7503
"188",7660
"189",7695
"190",7713
"191",7768
"192",7865
"193",8018
"194",8080
"195",8140
"196",8185
"197",8340
"198",8015
"199",8283
"200",8133
"201",8175
"202",8269
"203",8249
"204",8400
"205",8388
