"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",1
"35",0
"36",0
"37",0
"38",0
"39",1
"40",0
"41",0
"42",0
"43",0
"44",1
"45",0
"46",0
"47",1
"48",0
"49",0
"50",3
"51",1
"52",1
"53",0
"54",2
"55",2
"56",3
"57",2
"58",2
"59",2
"60",5
"61",6
"62",7
"63",5
"64",6
"65",12
"66",10
"67",11
"68",18
"69",14
"70",18
"71",17
"72",22
"73",22
"74",24
"75",38
"76",25
"77",29
"78",34
"79",36
"80",36
"81",65
"82",54
"83",72
"84",64
"85",78
"86",83
"87",101
"88",104
"89",126
"90",123
"91",141
"92",146
"93",185
"94",171
"95",206
"96",247
"97",233
"98",271
"99",306
"100",269
"101",299
"102",340
"103",401
"104",407
"105",448
"106",463
"107",498
"108",525
"109",602
"110",623
"111",638
"112",660
"113",765
"114",765
"115",820
"116",882
"117",966
"118",945
"119",1050
"120",1050
"121",1186
"122",1227
"123",1312
"124",1355
"125",1349
"126",1437
"127",1521
"128",1566
"129",1672
"130",1760
"131",1765
"132",1966
"133",1991
"134",2014
"135",2170
"136",2255
"137",2354
"138",2329
"139",2553
"140",2608
"141",2618
"142",2704
"143",2930
"144",2984
"145",3103
"146",3180
"147",3303
"148",3404
"149",3438
"150",3537
"151",3697
"152",3782
"153",3942
"154",4042
"155",4156
"156",4218
"157",4297
"158",4427
"159",4535
"160",4738
"161",4779
"162",4912
"163",4977
"164",5093
"165",5257
"166",5360
"167",5428
"168",5568
"169",5701
"170",5760
"171",5888
"172",5948
"173",6062
"174",6272
"175",6039
"176",6372
"177",6401
"178",6544
"179",6447
"180",6706
"181",6824
"182",7085
"183",7121
"184",7136
"185",7137
"186",7434
"187",7372
"188",7503
"189",7506
"190",7613
"191",7486
"192",7625
"193",7838
"194",7635
"195",7979
"196",7872
"197",7874
"198",7880
"199",8089
"200",8110
"201",8063
"202",7971
"203",8379
"204",8130
"205",8148
"206",8253
