"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596182800697259,100120,899880,9,14.53
"2","Alaska",0.5208205297894,373916,626084,3,9
"3","Arizona",0.481204460493072,603013,396987,11,4.2
"4","Arkansas",0.694179743320379,3057,996943,6,15.58
"5","California",0.354081378671754,991345,8655,55,-12.96
"6","Colorado",0.439774182712436,910185,89815,9,-1.26
"7","Connecticut",0.41482982104687,921645,78355,7,-6.95
"8","Delaware",0.443338148323156,808477,191523,3,-7.14
"9","District of Columbia",0.110335642435217,1e+06,0,3,-42.87
"10","Florida",0.490424152974687,554445,445555,29,2.84
"11","Georgia",0.499436221147239,503094,496906,16,4.99
"12","Hawaii",0.349464802515603,989782,10218,4,-18.5
"13","Idaho",0.608218971363215,46467,953533,4,18.41
"14","Illinois",0.430967102999229,878643,121357,20,-7.29
"15","Indiana",0.553800623176387,240513,759487,11,9.6
"16","Iowa",0.504882278223641,462133,537867,6,3.35
"17","Kansas",0.549916661065188,246456,753544,6,11.64
"18","Kentucky",0.606499714358317,70680,929320,8,15.08
"19","Louisiana",0.61576924542442,49985,950015,8,12.17
"20","Maine",0.420559680670941,937845,62155,3,-2.89
"21","Maine CD-2",0.502309958337623,482256,517744,1,3.51
"22","Maryland",0.358354652796827,984144,15856,10,-12.25
"23","Massachusetts",0.363679562468895,991318,8682,11,-16.04
"24","Michigan",0.468689934779868,664642,335358,16,-0.3
"25","Minnesota",0.462553310462785,741873,258127,10,-0.85
"26","Mississippi",0.587708564008883,162278,837722,6,9.18
"27","Missouri",0.540550761486874,274727,725273,10,9.62
"28","Montana",0.547355493970725,226071,773929,3,9.76
"29","Nebraska",0.568676495773599,124876,875124,4,14.39
"30","Nebraska CD-2",0.481150470662112,620800,379200,1,3.26
"31","Nevada",0.470852681258468,659941,340059,6,0.12
"32","New Hampshire",0.452591336822861,746085,253915,4,-0.21
"33","New Jersey",0.408115901354649,940770,59230,14,-6.18
"34","New Mexico",0.44931063100225,749820,250180,5,-4.14
"35","New York",0.358161862500699,981055,18945,29,-11.53
"36","North Carolina",0.493191180225598,541556,458444,15,3.51
"37","North Dakota",0.584636567010538,55448,944552,3,17.04
"38","Ohio",0.507648261304006,458564,541436,18,4.55
"39","Oklahoma",0.619131639571147,50484,949516,7,19.38
"40","Oregon",0.427066451137035,981323,18677,7,-5.29
"41","Pennsylvania",0.472111841703155,657952,342048,20,0.6
"42","Rhode Island",0.425318292980949,873557,126443,4,-9.39
"43","South Carolina",0.526123260309712,359950,640050,9,8.67
"44","South Dakota",0.626989035331307,36906,963094,3,15.26
"45","Tennessee",0.618829093370363,56747,943253,11,13.93
"46","Texas",0.503069387503445,483442,516558,38,7.2
"47","Utah",0.574182046650693,100793,899207,6,16.94
"48","Vermont",0.383248085097359,961009,38991,3,-15.75
"49","Virginia",0.453445078391105,727622,272378,13,-1.13
"50","Washington",0.413024883911633,931654,68346,12,-7.44
"51","West Virginia",0.638256183749244,16683,983317,5,18.16
"52","Wisconsin",0.467012021428776,697540,302460,10,0.39
"53","Wyoming",0.684285193525481,2862,997138,3,24.64
