"","StateName","StateMean","Variance","ElectoralVotes","BPI"
"1","Alabama",0.596315135680211,0.00543822965717159,9,14.53
"2","Alaska",0.520787233901613,0.00416396873766185,3,9
"3","Arizona",0.481065945405195,0.00491540585098163,11,4.2
"4","Arkansas",0.694233082638575,0.00485722965717159,6,15.58
"5","California",0.354140950826061,0.00255788257413922,55,-12.96
"6","Colorado",0.439840159205935,0.00194720162391008,9,-1.26
"7","Connecticut",0.41484746012372,0.00358222965717159,7,-6.95
"8","Delaware",0.443293312927267,0.00415222965717159,3,-7.14
"9","District of Columbia",0.110265808256422,0.00409222965717159,3,-42.87
"10","Florida",0.491447825346735,0.00474172386637321,29,2.84
"11","Georgia",0.499498955265889,0.00490318008789597,16,4.99
"12","Hawaii",0.349475442176937,0.00400271718728512,4,-18.5
"13","Idaho",0.608204342235883,0.00409215558309752,4,18.41
"14","Illinois",0.430976627030397,0.00344064289101518,20,-7.29
"15","Indiana",0.553843622354093,0.00577594243116466,11,9.6
"16","Iowa",0.50492776655477,0.00249052272571539,6,3.35
"17","Kansas",0.549905455899585,0.00527385277005222,6,11.64
"18","Kentucky",0.606458183173536,0.00518941476133447,8,15.08
"19","Louisiana",0.615843251794312,0.00411293842157437,8,12.17
"20","Maine",0.420418891783108,0.0026097857593474,3,-2.89
"21","Maine CD-2",0.502370049160039,0.00265281152179641,1,3.51
"22","Maryland",0.358200473394214,0.00325004653045605,10,-12.25
"23","Massachusetts",0.36353212224736,0.00324523822263148,11,-16.04
"24","Michigan",0.468684449818754,0.00533186537448999,16,-0.3
"25","Minnesota",0.462590335856566,0.00327900486908328,10,-0.85
"26","Mississippi",0.58776724011557,0.00645472965717159,6,9.18
"27","Missouri",0.542074256178056,0.0045312350062629,10,9.62
"28","Montana",0.547327551328881,0.00391048773837221,3,9.76
"29","Nebraska",0.568729842701308,0.00349222965717159,4,14.39
"30","Nebraska CD-2",0.48116680216487,0.00368766062973513,1,3.26
"31","Nevada",0.470845413309408,0.00466578651140498,6,0.12
"32","New Hampshire",0.452406433032603,0.00506623651127557,4,-0.21
"33","New Jersey",0.408175961505364,0.00327050297517166,14,-6.18
"34","New Mexico",0.44924328863067,0.0050690190918259,5,-4.14
"35","New York",0.358182920589638,0.00462701322536077,29,-11.53
"36","North Carolina",0.493214240589551,0.00416031878730646,15,3.51
"37","North Dakota",0.584703577501825,0.00274379765717159,3,17.04
"38","Ohio",0.50777018185932,0.00532441604092243,18,4.55
"39","Oklahoma",0.619152002517565,0.00520630833995907,7,19.38
"40","Oregon",0.427093478020874,0.00117101218399392,7,-5.29
"41","Pennsylvania",0.472149966490048,0.00465372901389928,20,0.6
"42","Rhode Island",0.425445186312509,0.00421222965717159,4,-9.39
"43","South Carolina",0.526072182056094,0.00517995643111634,9,8.67
"44","South Dakota",0.626961442663037,0.00497722965717159,3,15.26
"45","Tennessee",0.618844571640094,0.00553222965717159,11,13.93
"46","Texas",0.508457948967636,0.0054819980114733,38,7.2
"47","Utah",0.574214256087949,0.00328707355727113,6,16.94
"48","Vermont",0.383256709140165,0.00433087214286468,3,-15.75
"49","Virginia",0.453343074985156,0.00585592324927215,13,-1.13
"50","Washington",0.413083081842732,0.00338046759860486,12,-7.44
"51","West Virginia",0.638425014414999,0.00415723925936638,5,18.16
"52","Wisconsin",0.466824186669242,0.0039926207640249,10,0.39
"53","Wyoming",0.684224795307416,0.00440722965717159,3,24.64
