"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596258812556135,254794,745206,9,14.53
"2","Alaska",0.51970643023176,440148,559852,3,9
"3","Arizona",0.479212206323386,558311,441689,11,4.2
"4","Arkansas",0.694409672410155,85694,914306,6,15.58
"5","California",0.354042942956452,930062,69938,55,-12.96
"6","Colorado",0.443505152743919,729459,270541,9,-1.26
"7","Connecticut",0.415044409965836,755055,244945,7,-6.95
"8","Delaware",0.44331548972067,666401,333599,3,-7.14
"9","District of Columbia",0.110347007570328,998532,1468,3,-42.87
"10","Florida",0.482918599240778,548199,451801,29,2.84
"11","Georgia",0.501368899633521,496222,503778,16,4.99
"12","Hawaii",0.357342581029547,871015,128985,4,-18.5
"13","Idaho",0.608196785490324,195942,804058,4,18.41
"14","Illinois",0.430987912548167,720709,279291,20,-7.29
"15","Indiana",0.559538352471394,346928,653072,11,9.6
"16","Iowa",0.50428318250136,483287,516713,6,3.35
"17","Kansas",0.549935323955344,366363,633637,6,11.64
"18","Kentucky",0.606422074483196,232367,767633,8,15.08
"19","Louisiana",0.594431281131849,233004,766996,8,12.17
"20","Maine",0.417818292175136,784898,215102,3,-2.89
"21","Maine CD-2",0.506739585193569,474470,525530,1,3.51
"22","Maryland",0.358260414147061,893007,106993,10,-12.25
"23","Massachusetts",0.363354013579485,885194,114806,11,-16.04
"24","Michigan",0.468952516674807,582628,417372,16,-0.3
"25","Minnesota",0.462462304383834,625462,374538,10,-0.85
"26","Mississippi",0.587715241742508,291363,708637,6,9.18
"27","Missouri",0.541732905754711,380475,619525,10,9.62
"28","Montana",0.547244028564424,354816,645184,3,9.76
"29","Nebraska",0.568789155663439,286267,713733,4,14.39
"30","Nebraska CD-2",0.481106585913464,561712,438288,1,3.26
"31","Nevada",0.468825628504684,588298,411702,6,0.12
"32","New Hampshire",0.454893660863719,622373,377627,4,-0.21
"33","New Jersey",0.411569961543271,775954,224046,14,-6.18
"34","New Mexico",0.448890081508391,638264,361736,5,-4.14
"35","New York",0.357861479435665,855967,144033,29,-11.53
"36","North Carolina",0.495515480383124,513570,486430,15,3.51
"37","North Dakota",0.584527057701377,203484,796516,3,17.04
"38","Ohio",0.506749461725837,481481,518519,18,4.55
"39","Oklahoma",0.619090984165851,200876,799124,7,19.38
"40","Oregon",0.427127372757154,848403,151597,7,-5.29
"41","Pennsylvania",0.472343443585634,578018,421982,20,0.6
"42","Rhode Island",0.425396539122542,712637,287363,4,-9.39
"43","South Carolina",0.517513848601129,452487,547513,9,8.67
"44","South Dakota",0.627088709699067,188820,811180,3,15.26
"45","Tennessee",0.618624527274832,216832,783168,11,13.93
"46","Texas",0.502478717808389,492827,507173,38,7.2
"47","Utah",0.574253176202248,255661,744339,6,16.94
"48","Vermont",0.383308983590372,815271,184729,3,-15.75
"49","Virginia",0.459896588292648,601624,398376,13,-1.13
"50","Washington",0.422138329743711,745274,254726,12,-7.44
"51","West Virginia",0.676190469717673,76788,923212,5,18.16
"52","Wisconsin",0.466954665627113,600015,399985,10,0.39
"53","Wyoming",0.684289861446094,87672,912328,3,24.64
