"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",1
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",1
"75",1
"76",0
"77",0
"78",1
"79",0
"80",2
"81",2
"82",0
"83",3
"84",4
"85",2
"86",5
"87",3
"88",2
"89",11
"90",7
"91",9
"92",12
"93",12
"94",16
"95",28
"96",28
"97",28
"98",31
"99",30
"100",43
"101",52
"102",59
"103",82
"104",72
"105",82
"106",97
"107",118
"108",141
"109",134
"110",143
"111",193
"112",186
"113",240
"114",242
"115",264
"116",328
"117",332
"118",374
"119",439
"120",455
"121",505
"122",565
"123",620
"124",669
"125",738
"126",773
"127",823
"128",927
"129",959
"130",1084
"131",1181
"132",1220
"133",1377
"134",1398
"135",1616
"136",1599
"137",1688
"138",1871
"139",1951
"140",2051
"141",2214
"142",2336
"143",2505
"144",2728
"145",2699
"146",2779
"147",2919
"148",3174
"149",3349
"150",3469
"151",3615
"152",3769
"153",3887
"154",4258
"155",4273
"156",4519
"157",4575
"158",4826
"159",5092
"160",5265
"161",5247
"162",5612
"163",5592
"164",5803
"165",6081
"166",6176
"167",6329
"168",6707
"169",6814
"170",6953
"171",7180
"172",7298
"173",7490
"174",7550
"175",7828
"176",7929
"177",8205
"178",8226
"179",8432
"180",8717
"181",8671
"182",8981
"183",9013
"184",9235
"185",9511
"186",9672
"187",9741
"188",9735
"189",9610
"190",10048
"191",10017
"192",10112
"193",10359
"194",10386
"195",10590
"196",10389
"197",10791
"198",10681
"199",10823
"200",10809
"201",10902
"202",10947
"203",11093
"204",10863
"205",10912
"206",10900
"207",10929
"208",10820
