"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",1
"44",0
"45",1
"46",2
"47",0
"48",4
"49",0
"50",2
"51",1
"52",2
"53",1
"54",3
"55",6
"56",4
"57",4
"58",4
"59",2
"60",3
"61",0
"62",8
"63",8
"64",12
"65",5
"66",11
"67",16
"68",24
"69",23
"70",19
"71",22
"72",28
"73",35
"74",28
"75",24
"76",34
"77",42
"78",43
"79",60
"80",57
"81",59
"82",81
"83",86
"84",95
"85",101
"86",125
"87",117
"88",123
"89",165
"90",173
"91",174
"92",187
"93",217
"94",228
"95",265
"96",249
"97",256
"98",301
"99",339
"100",341
"101",379
"102",440
"103",481
"104",470
"105",487
"106",576
"107",516
"108",582
"109",651
"110",632
"111",685
"112",795
"113",837
"114",888
"115",924
"116",985
"117",992
"118",1076
"119",1108
"120",1232
"121",1266
"122",1364
"123",1457
"124",1429
"125",1474
"126",1616
"127",1667
"128",1734
"129",1780
"130",1902
"131",1886
"132",1964
"133",2095
"134",2187
"135",2340
"136",2467
"137",2420
"138",2613
"139",2756
"140",2714
"141",2905
"142",2935
"143",2997
"144",3106
"145",3152
"146",3337
"147",3528
"148",3515
"149",3663
"150",3801
"151",3897
"152",3948
"153",4122
"154",4372
"155",4393
"156",4422
"157",4477
"158",4561
"159",4778
"160",4853
"161",4957
"162",5014
"163",5239
"164",5282
"165",5552
"166",5516
"167",5615
"168",5692
"169",5884
"170",5979
"171",6014
"172",6047
"173",6175
"174",6467
"175",6561
"176",6511
"177",6705
"178",6911
"179",6855
"180",7064
"181",6923
"182",7203
"183",7258
"184",7226
"185",7422
"186",7411
"187",7674
"188",7685
"189",7742
"190",7685
"191",7930
"192",7731
"193",7745
"194",8055
"195",7966
"196",8148
"197",8135
"198",8218
"199",8270
"200",8315
"201",8121
"202",8157
"203",8369
"204",8403
"205",8531
"206",8355
