"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",1
"79",1
"80",0
"81",0
"82",2
"83",2
"84",1
"85",5
"86",2
"87",5
"88",7
"89",6
"90",7
"91",14
"92",13
"93",19
"94",8
"95",23
"96",28
"97",25
"98",40
"99",44
"100",34
"101",50
"102",49
"103",60
"104",76
"105",74
"106",84
"107",91
"108",129
"109",144
"110",156
"111",163
"112",186
"113",221
"114",228
"115",305
"116",290
"117",325
"118",383
"119",404
"120",451
"121",473
"122",549
"123",532
"124",602
"125",674
"126",769
"127",813
"128",879
"129",978
"130",1008
"131",1077
"132",1250
"133",1314
"134",1426
"135",1497
"136",1557
"137",1688
"138",1744
"139",1900
"140",2025
"141",2142
"142",2354
"143",2502
"144",2434
"145",2746
"146",2702
"147",2919
"148",3090
"149",3227
"150",3334
"151",3582
"152",3700
"153",3841
"154",4085
"155",4350
"156",4293
"157",4559
"158",4673
"159",4878
"160",5213
"161",5195
"162",5520
"163",5574
"164",5823
"165",6021
"166",6189
"167",6401
"168",6498
"169",6679
"170",6959
"171",7107
"172",7140
"173",7559
"174",7665
"175",7743
"176",7917
"177",8112
"178",8230
"179",8357
"180",8375
"181",8909
"182",8764
"183",9019
"184",9264
"185",9337
"186",9545
"187",9490
"188",9778
"189",9695
"190",10127
"191",9980
"192",10216
"193",10133
"194",10246
"195",10351
"196",10456
"197",10327
"198",10601
"199",10649
"200",10691
"201",10595
"202",10641
"203",10809
"204",10730
"205",10967
"206",10956
"207",10903
"208",11096
