"","StateName","StateMean","Variance","ElectoralVotes","BPI"
"1","Alabama",0.596315135680211,0.00603817486115414,9,14.53
"2","Alaska",0.527767977611011,0.00461717486115414,3,9
"3","Arizona",0.474905707814546,0.00552989952567078,11,4.2
"4","Arkansas",0.694233082638575,0.00545717486115414,6,15.58
"5","California",0.33277897551577,0.00277784545196423,55,-12.96
"6","Colorado",0.442194962696204,0.0026203504071481,9,-1.26
"7","Connecticut",0.41484746012372,0.00418217486115414,7,-6.95
"8","Delaware",0.443293312927267,0.00475217486115414,3,-7.14
"9","District of Columbia",0.110265808256422,0.00469217486115414,3,-42.87
"10","Florida",0.486641320104424,0.00531876981095849,29,2.84
"11","Georgia",0.505517690459146,0.00553292212653071,16,4.99
"12","Hawaii",0.357336416797018,0.00437717486115414,4,-18.5
"13","Idaho",0.608204342235883,0.00469210078708007,4,18.41
"14","Illinois",0.429004736763758,0.00383717486115414,20,-7.29
"15","Indiana",0.559470019741098,0.00629441998789918,11,9.6
"16","Iowa",0.55065033748343,0.00321719582648025,6,3.35
"17","Kansas",0.564871163850208,0.00612485240904829,6,11.64
"18","Kentucky",0.620166873345052,0.00578935996531702,8,15.08
"19","Louisiana",0.594479414421829,0.0048973415278208,8,12.17
"20","Maine",0.508831033229755,0.00335057944870595,3,-2.89
"21","Maine CD-2",0.548123078342057,0.00327401574858053,1,3.51
"22","Maryland",0.358200473394214,0.00384999173443859,10,-12.25
"23","Massachusetts",0.36353212224736,0.00384518342661402,11,-16.04
"24","Michigan",0.469025116818439,0.00594170397788635,16,-0.3
"25","Minnesota",0.459975485495307,0.00399093267362249,10,-0.85
"26","Mississippi",0.58776724011557,0.00705467486115414,6,9.18
"27","Missouri",0.551547389597412,0.00517904456962821,10,9.62
"28","Montana",0.551461514812033,0.00477521486115414,3,9.76
"29","Nebraska",0.568729842701308,0.00409217486115414,4,14.39
"30","Nebraska CD-2",0.506422622668761,0.00471492486115414,1,3.26
"31","Nevada",0.468286896429261,0.00541496210979925,6,0.12
"32","New Hampshire",0.462958685583052,0.00584786335762222,4,-0.21
"33","New Jersey",0.410050923250672,0.00423024686115414,14,-6.18
"34","New Mexico",0.458839399500891,0.00576475118178277,5,-4.14
"35","New York",0.368459531548334,0.00478217486115414,29,-11.53
"36","North Carolina",0.498043666137803,0.00476792373802342,15,3.51
"37","North Dakota",0.584351322914563,0.00334412486115414,3,17.04
"38","Ohio",0.509458971750157,0.00595393692561135,18,4.55
"39","Oklahoma",0.619152002517565,0.00580625354394162,7,19.38
"40","Oregon",0.434394435940309,0.00209306854266214,7,-5.29
"41","Pennsylvania",0.475495870954592,0.00525968042135042,20,0.6
"42","Rhode Island",0.425445186312509,0.00481217486115414,4,-9.39
"43","South Carolina",0.477039336564347,0.0058859037863708,9,8.67
"44","South Dakota",0.626961442663037,0.00557717486115414,3,15.26
"45","Tennessee",0.618844571640094,0.00613217486115414,11,13.93
"46","Texas",0.498707438555528,0.00607577236147721,38,7.2
"47","Utah",0.583530607394618,0.00373407486115414,6,16.94
"48","Vermont",0.383256709140165,0.00493081734684723,3,-15.75
"49","Virginia",0.459721948612249,0.00677007564207387,13,-1.13
"50","Washington",0.422060045450661,0.00423668211971959,12,-7.44
"51","West Virginia",0.676239900812176,0.00421217486115414,5,18.16
"52","Wisconsin",0.465039124221101,0.00459430441863532,10,0.39
"53","Wyoming",0.684224795307416,0.00500717486115414,3,24.64
