"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.619327298295735,47096,952904,9,14.53
"2","Alaska",0.526610107867973,326994,673006,3,9
"3","Arizona",0.485930626422283,583239,416761,11,4.2
"4","Arkansas",0.665941931103315,8510,991490,6,15.58
"5","California",0.338092142694235,999309,691,55,-12.96
"6","Colorado",0.43966057922848,948666,51334,9,-1.26
"7","Connecticut",0.414810663384211,940023,59977,7,-6.95
"8","Delaware",0.44324590813041,827655,172345,3,-7.14
"9","District of Columbia",0.110272428884274,1e+06,0,3,-42.87
"10","Florida",0.490513098043094,558415,441585,29,2.84
"11","Georgia",0.49621148045546,520671,479329,16,4.99
"12","Hawaii",0.349405071579888,994303,5697,4,-18.5
"13","Idaho",0.608231679169668,34187,965813,4,18.41
"14","Illinois",0.430950293226008,901828,98172,20,-7.29
"15","Indiana",0.554006385119317,227201,772799,11,9.6
"16","Iowa",0.505612834774286,448867,551133,6,3.35
"17","Kansas",0.556457464528882,204099,795901,6,11.64
"18","Kentucky",0.602166552972337,65817,934183,8,15.08
"19","Louisiana",0.61356128658002,38434,961566,8,12.17
"20","Maine",0.42232637214985,959726,40274,3,-2.89
"21","Maine CD-2",0.497615900540312,521009,478991,1,3.51
"22","Maryland",0.361778829302952,989374,10626,10,-12.25
"23","Massachusetts",0.35018384943608,998485,1515,11,-16.04
"24","Michigan",0.468451058536486,676383,323617,16,-0.3
"25","Minnesota",0.46437662483832,754110,245890,10,-0.85
"26","Mississippi",0.580738843485938,165686,834314,6,9.18
"27","Missouri",0.538823783588634,268230,731770,10,9.62
"28","Montana",0.539019239375593,247148,752852,3,9.76
"29","Nebraska",0.568696801179135,101828,898172,4,14.39
"30","Nebraska CD-2",0.484959050263927,607664,392336,1,3.26
"31","Nevada",0.47256229760975,661908,338092,6,0.12
"32","New Hampshire",0.449698985202332,774061,225939,4,-0.21
"33","New Jersey",0.403664232263952,966444,33556,14,-6.18
"34","New Mexico",0.444310007963076,787972,212028,5,-4.14
"35","New York",0.358104804710658,987401,12599,29,-11.53
"36","North Carolina",0.493228798460136,544801,455199,15,3.51
"37","North Dakota",0.584727784504431,34580,965420,3,17.04
"38","Ohio",0.506959597219276,460012,539988,18,4.55
"39","Oklahoma",0.613853692392887,39085,960915,7,19.38
"40","Oregon",0.427109339964104,998552,1448,7,-5.29
"41","Pennsylvania",0.473282424982011,661742,338258,20,0.6
"42","Rhode Island",0.425482643180728,892324,107676,4,-9.39
"43","South Carolina",0.527573971923458,343174,656826,9,8.67
"44","South Dakota",0.601697659258828,70702,929298,3,15.26
"45","Tennessee",0.618896618282399,46318,953682,11,13.93
"46","Texas",0.505983583637421,466191,533809,38,7.2
"47","Utah",0.565291805031879,94487,905513,6,16.94
"48","Vermont",0.373661143887874,981782,18218,3,-15.75
"49","Virginia",0.448565026833155,762960,237040,13,-1.13
"50","Washington",0.406134476978222,963954,36046,12,-7.44
"51","West Virginia",0.638455197218895,10517,989483,5,18.16
"52","Wisconsin",0.471429484380063,687864,312136,10,0.39
"53","Wyoming",0.684209955873794,1450,998550,3,24.64
