"","StateName","StateMean","Variance","ElectoralVotes","BPI"
"1","Alabama",0.596315135680211,0.0228346569104639,9,14.53
"2","Alaska",0.527767977611011,0.0183986569104639,3,9
"3","Arizona",0.474745800002262,0.0219648697902837,11,4.2
"4","Arkansas",0.694233082638575,0.0217586569104639,6,15.58
"5","California",0.33277897551577,0.010934327501274,55,-12.96
"6","Colorado",0.442194962696204,0.0100568324564578,9,-1.26
"7","Connecticut",0.41484746012372,0.0166586569104639,7,-6.95
"8","Delaware",0.443293312927267,0.0189386569104639,3,-7.14
"9","District of Columbia",0.110265808256422,0.0186986569104639,3,-42.87
"10","Florida",0.486580382072774,0.0211698859004394,29,2.84
"11","Georgia",0.498533707323275,0.0219184008625061,16,4.99
"12","Hawaii",0.357336416797018,0.0174386569104639,4,-18.5
"13","Idaho",0.608204342235883,0.0175285828363898,4,18.41
"14","Illinois",0.429004736763758,0.0152786569104639,20,-7.29
"15","Indiana",0.559470019741098,0.0243959020372089,11,9.6
"16","Iowa",0.55065033748343,0.01231867787579,6,3.35
"17","Kansas",0.564871163850208,0.023191334458358,6,11.64
"18","Kentucky",0.620166873345052,0.0227208420146268,8,15.08
"19","Louisiana",0.594479414421829,0.0182738235771305,8,12.17
"20","Maine",0.508831033229755,0.0124520614980157,3,-2.89
"21","Maine CD-2",0.548123078342057,0.0123754977978903,1,3.51
"22","Maryland",0.358200473394214,0.0145264737837483,10,-12.25
"23","Massachusetts",0.36353212224736,0.0144766654759238,11,-16.04
"24","Michigan",0.468618039198866,0.023636614980021,16,-0.3
"25","Minnesota",0.469188844832918,0.0153478649754254,10,-0.85
"26","Mississippi",0.58776724011557,0.0269111569104639,6,9.18
"27","Missouri",0.551547389597412,0.0203555266189379,10,9.62
"28","Montana",0.551461514812033,0.0178366969104639,3,9.76
"29","Nebraska",0.568729842701308,0.0162986569104639,4,14.39
"30","Nebraska CD-2",0.506422622668761,0.0169214069104639,1,3.26
"31","Nevada",0.468286896429261,0.020996444159109,6,0.12
"32","New Hampshire",0.462958685583052,0.022644345406932,4,-0.21
"33","New Jersey",0.410050923250672,0.0154017289104639,14,-6.18
"34","New Mexico",0.458839399500891,0.0223362332310925,5,-4.14
"35","New York",0.368459531548334,0.0190586569104639,29,-11.53
"36","North Carolina",0.498243471621653,0.0189524847589004,15,3.51
"37","North Dakota",0.584351322914563,0.0118606069104639,3,17.04
"38","Ohio",0.503267392780481,0.0236270738296528,18,4.55
"39","Oklahoma",0.619152002517565,0.0217027355932514,7,19.38
"40","Oregon",0.434394435940309,0.00682955059197187,7,-5.29
"41","Pennsylvania",0.476243959526079,0.0209302430512498,20,0.6
"42","Rhode Island",0.425445186312509,0.0191786569104639,4,-9.39
"43","South Carolina",0.477039336564347,0.0230423858356805,9,8.67
"44","South Dakota",0.626961442663037,0.0222386569104639,3,15.26
"45","Tennessee",0.618844571640094,0.0244586569104639,11,13.93
"46","Texas",0.509521157481821,0.0242144075954008,38,7.2
"47","Utah",0.583530607394618,0.0141405569104639,6,16.94
"48","Vermont",0.383256709140165,0.018442299396157,3,-15.75
"49","Virginia",0.459721948612249,0.0255015576913836,13,-1.13
"50","Washington",0.422060045450661,0.0154531641690293,12,-7.44
"51","West Virginia",0.676239900812176,0.0167786569104639,5,18.16
"52","Wisconsin",0.46491139034198,0.0182856713272805,10,0.39
"53","Wyoming",0.684224795307416,0.0199586569104639,3,24.64
