"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596253524955439,101236,898764,9,14.53
"2","Alaska",0.519689040349222,384330,615670,3,9
"3","Arizona",0.476826332116007,626507,373493,11,4.2
"4","Arkansas",0.694190174026066,3382,996618,6,15.58
"5","California",0.354130209012473,997021,2979,55,-12.96
"6","Colorado",0.443506598988906,884211,115789,9,-1.26
"7","Connecticut",0.414813576515675,916110,83890,7,-6.95
"8","Delaware",0.443296016057764,803969,196031,3,-7.14
"9","District of Columbia",0.110246250502244,1e+06,0,3,-42.87
"10","Florida",0.471276260291691,657488,342512,29,2.84
"11","Georgia",0.500668790482503,496491,503509,16,4.99
"12","Hawaii",0.357313854699265,987590,12410,4,-18.5
"13","Idaho",0.608152368534261,50494,949506,4,18.41
"14","Illinois",0.43100187707265,871745,128255,20,-7.29
"15","Indiana",0.559514628919326,219893,780107,11,9.6
"16","Iowa",0.504353061750133,466853,533147,6,3.35
"17","Kansas",0.549838951101222,251116,748884,6,11.64
"18","Kentucky",0.606640040796471,74266,925734,8,15.08
"19","Louisiana",0.594409699762937,80511,919489,8,12.17
"20","Maine",0.417751769519384,936579,63421,3,-2.89
"21","Maine CD-2",0.506919456836907,450086,549914,1,3.51
"22","Maryland",0.358185206864455,991914,8086,10,-12.25
"23","Massachusetts",0.363629732020706,989419,10581,11,-16.04
"24","Michigan",0.469904225509152,656509,343491,16,-0.3
"25","Minnesota",0.462422945756865,736995,263005,10,-0.85
"26","Mississippi",0.587713920837003,141860,858140,6,9.18
"27","Missouri",0.5416366425921,273369,726631,10,9.62
"28","Montana",0.547266678410677,231860,768140,3,9.76
"29","Nebraska",0.568719588992814,130846,869154,4,14.39
"30","Nebraska CD-2",0.481127440494077,619160,380840,1,3.26
"31","Nevada",0.469040862729409,670646,329354,6,0.12
"32","New Hampshire",0.454870936428412,731254,268746,4,-0.21
"33","New Jersey",0.411389079867237,930603,69397,14,-6.18
"34","New Mexico",0.449124158369672,757256,242744,5,-4.14
"35","New York",0.358307303413561,978799,21201,29,-11.53
"36","North Carolina",0.495380442413286,527705,472295,15,3.51
"37","North Dakota",0.584624987463,61036,938964,3,17.04
"38","Ohio",0.506877152095284,463242,536758,18,4.55
"39","Oklahoma",0.619203168265631,53527,946473,7,19.38
"40","Oregon",0.427086665249384,973638,26362,7,-5.29
"41","Pennsylvania",0.47241767422424,653387,346613,20,0.6
"42","Rhode Island",0.425418511306156,867959,132041,4,-9.39
"43","South Carolina",0.517749962951207,404788,595212,9,8.67
"44","South Dakota",0.626924723394679,39430,960570,3,15.26
"45","Tennessee",0.618876938355102,59154,940846,11,13.93
"46","Texas",0.509111349139121,452271,547729,38,7.2
"47","Utah",0.574197613838528,106228,893772,6,16.94
"48","Vermont",0.383102438529461,957889,42111,3,-15.75
"49","Virginia",0.459623819992555,692863,307137,13,-1.13
"50","Washington",0.422120327952032,894133,105867,12,-7.44
"51","West Virginia",0.676291612826685,2342,997658,5,18.16
"52","Wisconsin",0.466576798918711,696360,303640,10,0.39
"53","Wyoming",0.684225714554697,3530,996470,3,24.64
