"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.619251740311251,54847,945153,9,14.53
"2","Alaska",0.520749696151591,372092,627908,3,9
"3","Arizona",0.490367734493498,554193,445807,11,4.2
"4","Arkansas",0.669164670086501,9625,990375,6,15.58
"5","California",0.355485142206903,993701,6299,55,-12.96
"6","Colorado",0.439635280229273,920487,79513,9,-1.26
"7","Connecticut",0.414851246275798,925696,74304,7,-6.95
"8","Delaware",0.44330718550003,813575,186425,3,-7.14
"9","District of Columbia",0.110306291614653,1e+06,0,3,-42.87
"10","Florida",0.487281662667585,574170,425830,29,2.84
"11","Georgia",0.498815591295296,506004,493996,16,4.99
"12","Hawaii",0.349402474390865,991161,8839,4,-18.5
"13","Idaho",0.608204843948342,42991,957009,4,18.41
"14","Illinois",0.430931725528221,884633,115367,20,-7.29
"15","Indiana",0.55369372213873,237887,762113,11,9.6
"16","Iowa",0.502995050113715,475609,524391,6,3.35
"17","Kansas",0.554938013179309,221373,778627,6,11.64
"18","Kentucky",0.602035766787769,75813,924187,8,15.08
"19","Louisiana",0.615810515717758,46806,953194,8,12.17
"20","Maine",0.420336585953102,944335,55665,3,-2.89
"21","Maine CD-2",0.502392634326617,481005,518995,1,3.51
"22","Maryland",0.358208477544194,986441,13559,10,-12.25
"23","Massachusetts",0.363476298894754,992587,7413,11,-16.04
"24","Michigan",0.470169397367825,660071,339929,16,-0.3
"25","Minnesota",0.463594792474769,741554,258446,10,-0.85
"26","Mississippi",0.587754909437757,158507,841493,6,9.18
"27","Missouri",0.540588794400112,270822,729178,10,9.62
"28","Montana",0.543080044836316,241431,758569,3,9.76
"29","Nebraska",0.568685519923629,118655,881345,4,14.39
"30","Nebraska CD-2",0.48114687468611,624281,375719,1,3.26
"31","Nevada",0.469231440330836,670346,329654,6,0.12
"32","New Hampshire",0.452422430931594,750651,249349,4,-0.21
"33","New Jersey",0.408218876878947,945216,54784,14,-6.18
"34","New Mexico",0.444914324813422,772978,227022,5,-4.14
"35","New York",0.358229174904023,982867,17133,29,-11.53
"36","North Carolina",0.492229092463495,548011,451989,15,3.51
"37","North Dakota",0.584649929665562,49928,950072,3,17.04
"38","Ohio",0.508839360763725,450864,549136,18,4.55
"39","Oklahoma",0.613713967225655,47576,952424,7,19.38
"40","Oregon",0.427044183655989,987601,12399,7,-5.29
"41","Pennsylvania",0.470251757631549,670306,329694,20,0.6
"42","Rhode Island",0.425468018417392,877917,122083,4,-9.39
"43","South Carolina",0.526304423177853,356960,643040,9,8.67
"44","South Dakota",0.626800984628637,34722,965278,3,15.26
"45","Tennessee",0.618816568137654,53480,946520,11,13.93
"46","Texas",0.504784638355173,474522,525478,38,7.2
"47","Utah",0.570794332254644,96809,903191,6,16.94
"48","Vermont",0.383295371470636,963693,36307,3,-15.75
"49","Virginia",0.45096078266905,743661,256339,13,-1.13
"50","Washington",0.406130324118189,951956,48044,12,-7.44
"51","West Virginia",0.638368064775728,15017,984983,5,18.16
"52","Wisconsin",0.482907337680955,607875,392125,10,0.39
"53","Wyoming",0.684237674338561,2421,997579,3,24.64
