"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",1
"45",0
"46",2
"47",1
"48",0
"49",2
"50",1
"51",2
"52",0
"53",1
"54",4
"55",4
"56",0
"57",5
"58",1
"59",6
"60",7
"61",5
"62",7
"63",7
"64",5
"65",7
"66",10
"67",10
"68",12
"69",14
"70",21
"71",20
"72",23
"73",27
"74",36
"75",30
"76",32
"77",46
"78",50
"79",60
"80",48
"81",54
"82",90
"83",62
"84",81
"85",107
"86",96
"87",100
"88",120
"89",152
"90",141
"91",158
"92",174
"93",206
"94",217
"95",226
"96",256
"97",268
"98",311
"99",312
"100",357
"101",360
"102",374
"103",426
"104",485
"105",477
"106",575
"107",558
"108",635
"109",630
"110",702
"111",729
"112",755
"113",789
"114",866
"115",913
"116",974
"117",1016
"118",1041
"119",1094
"120",1188
"121",1265
"122",1354
"123",1355
"124",1471
"125",1467
"126",1568
"127",1668
"128",1726
"129",1885
"130",1896
"131",1978
"132",2136
"133",2125
"134",2202
"135",2245
"136",2390
"137",2394
"138",2602
"139",2655
"140",2773
"141",2872
"142",2946
"143",3018
"144",3082
"145",3247
"146",3256
"147",3387
"148",3477
"149",3628
"150",3763
"151",3904
"152",3946
"153",4012
"154",4075
"155",4350
"156",4458
"157",4556
"158",4653
"159",4838
"160",4867
"161",4969
"162",5154
"163",5152
"164",5384
"165",5328
"166",5575
"167",5600
"168",5750
"169",5838
"170",5885
"171",6060
"172",6072
"173",6416
"174",6347
"175",6531
"176",6674
"177",6758
"178",6821
"179",6839
"180",6963
"181",7103
"182",7097
"183",7150
"184",7150
"185",7438
"186",7699
"187",7449
"188",7676
"189",7640
"190",7748
"191",7658
"192",8063
"193",7974
"194",7842
"195",8075
"196",8225
"197",8048
"198",8167
"199",8046
"200",8248
"201",8344
"202",8368
"203",8290
"204",8409
"205",8345
"206",8427
