"","State","Mean","BidenWins","TrumpWins","ElectoralVotes","BPI"
"1","Alabama",0.596396416333778,109351,890649,9,14.53
"2","Alaska",0.527699727603739,343742,656258,3,9
"3","Arizona",0.478275327904132,613475,386525,11,4.2
"4","Arkansas",0.694198380464565,4608,995392,6,15.58
"5","California",0.354115782649699,986263,13737,55,-12.96
"6","Colorado",0.442155040189993,872477,127523,9,-1.26
"7","Connecticut",0.414861966777588,907935,92065,7,-6.95
"8","Delaware",0.443283859682049,795875,204125,3,-7.14
"9","District of Columbia",0.110164906458862,1e+06,0,3,-42.87
"10","Florida",0.485683676788338,577892,422108,29,2.84
"11","Georgia",0.501116884299746,494524,505476,16,4.99
"12","Hawaii",0.357390496699728,983522,16478,4,-18.5
"13","Idaho",0.608217007057583,56290,943710,4,18.41
"14","Illinois",0.431003116111559,863012,136988,20,-7.29
"15","Indiana",0.559354460633026,225952,774048,11,9.6
"16","Iowa",0.512591787624293,410248,589752,6,3.35
"17","Kansas",0.549979824392346,256524,743476,6,11.64
"18","Kentucky",0.60642773125311,79940,920060,8,15.08
"19","Louisiana",0.594333835003805,106138,893862,8,12.17
"20","Maine",0.41777505030556,926307,73693,3,-2.89
"21","Maine CD-2",0.506771231408224,453709,546291,1,3.51
"22","Maryland",0.35821805255041,978371,21629,10,-12.25
"23","Massachusetts",0.363589074388503,986846,13154,11,-16.04
"24","Michigan",0.471427043836482,645279,354721,16,-0.3
"25","Minnesota",0.46161401355947,731870,268130,10,-0.85
"26","Mississippi",0.587702283238377,171921,828079,6,9.18
"27","Missouri",0.54990426544873,242262,757738,10,9.62
"28","Montana",0.551156320164707,228111,771889,3,9.76
"29","Nebraska",0.568631565443987,139832,860168,4,14.39
"30","Nebraska CD-2",0.493126394608132,540870,459130,1,3.26
"31","Nevada",0.469199052453149,659507,340493,6,0.12
"32","New Hampshire",0.453783156359377,731249,268751,4,-0.21
"33","New Jersey",0.410070348651472,914321,85679,14,-6.18
"34","New Mexico",0.458658456929821,699659,300341,5,-4.14
"35","New York",0.358526585271236,975747,24253,29,-11.53
"36","North Carolina",0.497522256340538,514311,485689,15,3.51
"37","North Dakota",0.584628409306817,70510,929490,3,17.04
"38","Ohio",0.506068089268618,468578,531422,18,4.55
"39","Oklahoma",0.61907980189547,57825,942175,7,19.38
"40","Oregon",0.427112223315405,961290,38710,7,-5.29
"41","Pennsylvania",0.474457440202246,638815,361185,20,0.6
"42","Rhode Island",0.425559059766171,860462,139538,4,-9.39
"43","South Carolina",0.517771961795441,407894,592106,9,8.67
"44","South Dakota",0.626864982732207,44165,955835,3,15.26
"45","Tennessee",0.618807422227545,64045,935955,11,13.93
"46","Texas",0.501595014760129,492380,507620,38,7.2
"47","Utah",0.574134142378592,116402,883598,6,16.94
"48","Vermont",0.383161775150019,953345,46655,3,-15.75
"49","Virginia",0.459695262558243,688210,311790,13,-1.13
"50","Washington",0.422064211377823,886437,113563,12,-7.44
"51","West Virginia",0.676159202734222,3192,996808,5,18.16
"52","Wisconsin",0.466429647269877,691169,308831,10,0.39
"53","Wyoming",0.684309007952904,4347,995653,3,24.64
