"","V1"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",2
"51",1
"52",2
"53",0
"54",1
"55",0
"56",3
"57",3
"58",2
"59",3
"60",3
"61",3
"62",6
"63",6
"64",14
"65",7
"66",11
"67",11
"68",9
"69",17
"70",16
"71",9
"72",19
"73",27
"74",28
"75",26
"76",33
"77",31
"78",33
"79",65
"80",52
"81",70
"82",71
"83",82
"84",64
"85",88
"86",75
"87",98
"88",134
"89",157
"90",131
"91",135
"92",168
"93",174
"94",202
"95",225
"96",245
"97",264
"98",303
"99",316
"100",303
"101",346
"102",404
"103",413
"104",402
"105",479
"106",507
"107",515
"108",605
"109",630
"110",674
"111",694
"112",750
"113",805
"114",851
"115",882
"116",929
"117",1010
"118",1116
"119",1084
"120",1191
"121",1247
"122",1254
"123",1344
"124",1442
"125",1435
"126",1625
"127",1664
"128",1712
"129",1777
"130",1815
"131",1959
"132",2089
"133",2130
"134",2127
"135",2187
"136",2471
"137",2531
"138",2657
"139",2697
"140",2761
"141",2810
"142",2971
"143",3098
"144",3075
"145",3265
"146",3337
"147",3487
"148",3633
"149",3677
"150",3886
"151",3913
"152",4105
"153",4070
"154",4217
"155",4417
"156",4530
"157",4513
"158",4667
"159",4820
"160",4876
"161",5082
"162",5090
"163",5245
"164",5377
"165",5404
"166",5588
"167",5729
"168",5929
"169",5836
"170",6108
"171",6218
"172",6155
"173",6260
"174",6475
"175",6437
"176",6719
"177",6642
"178",6676
"179",7006
"180",6999
"181",7143
"182",7277
"183",7287
"184",7244
"185",7383
"186",7582
"187",7629
"188",7692
"189",7728
"190",7760
"191",7841
"192",8026
"193",7921
"194",7889
"195",7910
"196",8011
"197",8258
"198",8257
"199",8287
"200",8191
"201",8335
"202",8365
"203",8301
"204",8248
"205",8379
"206",8484
